episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,0.6724461504026201,6,7,0,1,-1,win,wipeout_enemy,4
2,0.7345683598653704,7,8,0,0,0,win,wipeout_enemy,4
3,0.6347217587826157,9,10,0,0,0,win,wipeout_enemy,4
4,-0.06898077200615144,9,10,0,0,0,loss,wipeout_model,4
5,0.49299281113765336,9,10,0,0,0,win,wipeout_enemy,4
6,-0.2604065592631334,9,10,0,0,0,loss,wipeout_model,4
7,-0.009365299880962286,10,11,0,0,0,draw,turn_limit_Only War,4
8,0.1928759594514907,10,11,2,1,1,win,turn_limit_Only War,4
9,-0.031149844382337387,10,11,0,0,0,draw,turn_limit_Only War,4
10,-0.21535,10,11,0,0,0,draw,turn_limit_Only War,4
11,0.017687004292593442,10,11,0,0,0,draw,turn_limit_Only War,4
12,-0.5993190648842172,10,11,0,1,-1,loss,wipeout_model,4
13,0.17542505577569006,10,11,0,0,0,draw,turn_limit_Only War,4
14,0.5255297361145305,7,8,0,0,0,win,wipeout_enemy,4
15,0.09696070350833598,10,11,0,3,-3,loss,turn_limit_Only War,4
16,0.6213658025681079,8,9,0,1,-1,win,wipeout_enemy,4
17,0.4053853524349151,9,10,0,1,-1,win,wipeout_enemy,4
18,-0.36130969247924954,10,11,0,0,0,loss,wipeout_model,4
19,0.08663009405222626,10,11,0,0,0,draw,turn_limit_Only War,4
20,-0.036363712084085315,10,11,0,1,-1,loss,turn_limit_Only War,4
21,0.048985108758474095,10,11,0,1,-1,loss,turn_limit_Only War,4
22,-0.02330402288673576,10,11,0,1,-1,loss,turn_limit_Only War,4
23,-0.0777491311855617,10,11,0,0,0,draw,turn_limit_Only War,4
24,0.013795647110244072,10,11,0,1,-1,loss,turn_limit_Only War,4
25,-0.14280770535487694,8,9,0,1,-1,loss,wipeout_model,4
26,0.46730276247561564,10,11,0,1,-1,win,wipeout_enemy,4
27,-0.10400592941132011,10,11,0,1,-1,loss,wipeout_model,4
28,0.055205819614002394,10,11,0,0,0,draw,turn_limit_Only War,4
29,-0.30830730401535106,8,9,0,0,0,loss,wipeout_model,4
30,-0.18006012336299623,9,10,0,1,-1,loss,wipeout_model,4
31,0.07953093165198617,10,11,0,1,-1,loss,turn_limit_Only War,4
32,0.41236453566136816,8,9,0,0,0,win,wipeout_enemy,4
33,0.38314149952913334,9,10,0,0,0,win,wipeout_enemy,4
34,-0.03932796816480548,10,11,0,0,0,draw,turn_limit_Only War,4
35,0.21392223078240535,10,11,0,1,-1,loss,turn_limit_Only War,4
36,-0.1738749344566932,10,11,0,1,-1,loss,turn_limit_Only War,4
37,-0.18267250618192515,10,11,0,2,-2,loss,turn_limit_Only War,4
38,0.17860002966284413,10,11,0,1,-1,loss,turn_limit_Only War,4
39,-0.25315064215505995,9,10,0,0,0,loss,wipeout_model,4
40,-0.07021609062290943,10,11,0,0,0,draw,turn_limit_Only War,4
41,-0.5175515758950626,10,11,0,0,0,loss,wipeout_model,4
42,-0.33430459150377684,8,9,0,2,-2,loss,wipeout_model,4
43,0.04332653741080873,10,11,0,1,-1,loss,turn_limit_Only War,4
44,0.1894737677927893,10,11,0,1,-1,loss,turn_limit_Only War,4
45,-0.24811318673867397,10,11,0,0,0,draw,turn_limit_Only War,4
46,0.026136852224280797,10,11,0,0,0,draw,turn_limit_Only War,4
47,-0.04705359224162619,10,11,0,0,0,draw,turn_limit_Only War,4
48,-0.26020883915990284,10,11,0,1,-1,loss,turn_limit_Only War,4
49,0.43419154296524143,8,9,0,0,0,win,wipeout_enemy,4
50,-0.09692525128693862,10,11,1,0,1,win,turn_limit_Only War,4
51,0.16406945921286684,10,11,0,0,0,draw,turn_limit_Only War,4
52,0.3903382101534313,9,10,0,0,0,win,wipeout_enemy,4
53,0.5757505856549877,7,8,0,0,0,win,wipeout_enemy,4
54,-0.18098438481772464,8,9,0,1,-1,loss,wipeout_model,4
55,0.533131612906389,10,11,2,2,0,win,wipeout_enemy,4
56,-0.1339459214459227,10,11,0,0,0,draw,turn_limit_Only War,4
57,0.14030866611604464,10,11,0,2,-2,loss,turn_limit_Only War,4
58,-0.13263692139691546,10,11,0,0,0,draw,turn_limit_Only War,4
59,-0.10941780113296432,10,11,0,1,-1,loss,turn_limit_Only War,4
60,0.009639225238122188,10,11,0,0,0,draw,turn_limit_Only War,4
61,0.6601125727809123,8,9,0,0,0,win,wipeout_enemy,4
62,-0.12389584670775908,10,11,0,0,0,draw,turn_limit_Only War,4
63,-0.07770840837247331,10,11,0,1,-1,loss,turn_limit_Only War,4
64,-0.04964513363363066,10,11,0,0,0,draw,turn_limit_Only War,4
65,-0.5057743229048893,9,10,0,0,0,loss,wipeout_model,4
66,-0.04042457278777488,10,11,0,0,0,draw,turn_limit_Only War,4
67,-0.09457713334535164,10,11,0,1,-1,loss,turn_limit_Only War,4
68,0.252578295317976,9,10,0,0,0,win,wipeout_enemy,4
69,-0.4183138974728779,10,11,0,3,-3,loss,turn_limit_Only War,4
70,-0.03831146093763599,10,11,0,0,0,draw,turn_limit_Only War,4
71,-0.08661488108061534,10,11,0,0,0,draw,turn_limit_Only War,4
72,-0.0850735760426202,10,11,0,0,0,draw,turn_limit_Only War,4
73,-0.09290203187146659,10,11,0,0,0,draw,turn_limit_Only War,4
74,0.017168142972322328,10,11,0,1,-1,loss,turn_limit_Only War,4
75,-0.03596997512486459,10,11,0,0,0,draw,turn_limit_Only War,4
76,-0.09735454697832605,10,11,0,0,0,draw,turn_limit_Only War,4
77,0.047198239579693727,10,11,0,1,-1,loss,turn_limit_Only War,4
78,-0.027536485104792775,10,11,0,0,0,draw,turn_limit_Only War,4
79,0.03888090131842918,10,11,0,0,0,draw,turn_limit_Only War,4
80,-0.05056666666666666,10,11,0,1,-1,loss,turn_limit_Only War,4
81,0.13807402156852558,10,11,0,1,-1,loss,turn_limit_Only War,4
82,-0.1628576377229759,10,11,0,0,0,draw,turn_limit_Only War,4
83,0.2094258445895123,10,11,0,1,-1,loss,turn_limit_Only War,4
84,-0.18877909987586367,10,11,0,0,0,draw,turn_limit_Only War,4
85,0.5322420524386685,7,8,0,0,0,win,wipeout_enemy,4
86,0.1906326511106961,10,11,0,0,0,draw,turn_limit_Only War,4
87,0.023682018719925972,10,11,0,1,-1,loss,turn_limit_Only War,4
88,-0.15412667180872122,10,11,0,0,0,loss,wipeout_model,4
89,-0.07864130082411912,10,11,0,1,-1,loss,turn_limit_Only War,4
90,0.5287242623719947,8,9,0,0,0,win,wipeout_enemy,4
91,-0.31625812448126783,10,11,0,2,-2,loss,wipeout_model,4
92,-0.16621544718670667,10,11,0,0,0,draw,turn_limit_Only War,4
93,0.45385348926133784,9,10,0,1,-1,win,wipeout_enemy,4
94,-0.43235366147113014,10,11,0,1,-1,loss,turn_limit_Only War,4
95,0.20202852701758886,10,11,0,1,-1,loss,turn_limit_Only War,4
96,-0.10014016403855927,10,11,0,0,0,draw,turn_limit_Only War,4
97,-0.04503815397576424,10,11,0,0,0,draw,turn_limit_Only War,4
98,0.1545729533119275,10,11,0,0,0,draw,turn_limit_Only War,4
99,-0.21696750129205894,9,10,0,0,0,loss,wipeout_model,4
100,-0.13595051333495314,9,10,0,1,-1,loss,wipeout_model,4
101,0.12366083963918809,10,11,0,1,-1,loss,turn_limit_Only War,4
102,0.43397487059916606,10,11,0,0,0,win,wipeout_enemy,4
103,-0.21729356239073622,10,11,0,0,0,loss,wipeout_model,4
104,0.00668602799052536,10,11,0,0,0,draw,turn_limit_Only War,4
105,0.016223925363875326,10,11,0,0,0,draw,turn_limit_Only War,4
106,-0.00019623285004730825,10,11,0,0,0,draw,turn_limit_Only War,4
107,-0.15854556890064705,10,11,0,1,-1,loss,turn_limit_Only War,4
108,0.02595447832617654,10,11,0,2,-2,loss,turn_limit_Only War,4
109,-0.17879976226307165,10,11,0,0,0,draw,turn_limit_Only War,4
110,-0.3476579584255349,9,10,0,0,0,loss,wipeout_model,4
111,-0.06628383556932971,10,11,0,1,-1,loss,turn_limit_Only War,4
