episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,-0.2841666666666667,6,7,0,2,-2,win,wipeout_enemy,4
2,0.8392857142857143,7,8,0,1,-1,win,wipeout_enemy,4
3,-0.333,10,11,1,0,1,win,turn_limit_Only War,4
4,-0.48549999999999993,10,11,0,0,0,draw,turn_limit_Only War,4
5,-0.198,10,11,2,8,-6,loss,turn_limit_Only War,4
6,-0.16299999999999998,10,11,1,1,0,loss,wipeout_model,4
7,-0.8504999999999999,10,11,0,0,0,draw,turn_limit_Only War,4
8,-0.08449999999999999,10,11,2,2,0,draw,turn_limit_Only War,4
9,-1.1385,10,11,3,2,1,win,turn_limit_Only War,4
10,-1.3719999999999999,10,11,0,2,-2,loss,turn_limit_Only War,4
11,-0.44777777777777783,9,10,0,2,-2,loss,wipeout_model,4
12,-0.26250000000000007,10,11,0,7,-7,loss,turn_limit_Only War,4
13,-0.251,10,11,0,1,-1,loss,turn_limit_Only War,4
14,-0.8019999999999999,10,11,3,5,-2,loss,turn_limit_Only War,4
15,-0.30900000000000005,10,11,2,3,-1,loss,turn_limit_Only War,4
16,-0.43599999999999994,10,11,6,2,4,win,turn_limit_Only War,4
17,-0.48214285714285715,7,8,0,1,-1,win,wipeout_enemy,4
18,0.009166666666666804,6,7,1,1,0,win,wipeout_enemy,4
19,-1.6454999999999997,10,11,0,1,-1,loss,turn_limit_Only War,4
20,0.5135714285714286,7,8,4,0,4,win,wipeout_enemy,4
21,-0.2125,10,11,2,5,-3,loss,turn_limit_Only War,4
22,-1.128,10,11,0,5,-5,loss,turn_limit_Only War,4
23,0.11200000000000003,10,11,4,2,2,win,turn_limit_Only War,4
24,-0.9705,10,11,0,2,-2,loss,turn_limit_Only War,4
25,0.016499999999999997,10,11,0,4,-4,loss,turn_limit_Only War,4
26,0.3914285714285714,7,8,5,2,3,win,wipeout_enemy,4
27,-0.16149999999999998,10,11,5,2,3,win,turn_limit_Only War,4
28,-0.03449999999999999,10,11,7,0,7,win,wipeout_enemy,4
29,-0.7104999999999999,10,11,0,1,-1,loss,turn_limit_Only War,4
30,-0.6495,10,11,5,3,2,win,turn_limit_Only War,4
31,-0.8880000000000001,10,11,2,3,-1,loss,turn_limit_Only War,4
32,-0.49000000000000005,10,11,1,6,-5,loss,wipeout_model,4
33,-0.30687499999999995,8,9,2,0,2,loss,wipeout_model,4
34,-0.05900000000000001,10,11,3,1,2,win,turn_limit_Only War,4
35,-0.3269999999999999,10,11,3,2,1,win,turn_limit_Only War,4
36,-1.2095,10,11,0,6,-6,loss,turn_limit_Only War,4
37,-1.385,8,9,0,2,-2,loss,wipeout_model,4
38,-0.5695,10,11,0,3,-3,loss,turn_limit_Only War,4
39,-0.3895,10,11,0,4,-4,loss,turn_limit_Only War,4
40,-0.052000000000000005,10,11,1,0,1,win,turn_limit_Only War,4
41,-0.6619999999999999,10,11,4,4,0,draw,turn_limit_Only War,4
42,-0.22200000000000003,10,11,3,3,0,draw,turn_limit_Only War,4
43,-0.06349999999999995,10,11,1,6,-5,loss,turn_limit_Only War,4
44,-0.45149999999999996,10,11,1,3,-2,loss,turn_limit_Only War,4
45,-2.0620000000000003,10,11,0,0,0,draw,turn_limit_Only War,4
46,0.171,10,11,1,6,-5,loss,turn_limit_Only War,4
47,0.07100000000000004,10,11,4,2,2,win,turn_limit_Only War,4
48,-0.27799999999999997,10,11,0,0,0,draw,turn_limit_Only War,4
49,-0.542,10,11,3,7,-4,loss,turn_limit_Only War,4
50,-0.354,10,11,4,3,1,win,wipeout_enemy,4
51,-0.0185,10,11,6,5,1,win,turn_limit_Only War,4
52,-1.0725,10,11,0,0,0,draw,turn_limit_Only War,4
53,-0.40149999999999997,10,11,5,4,1,win,turn_limit_Only War,4
54,0.37350000000000005,10,11,4,7,-3,loss,turn_limit_Only War,4
55,0.03400000000000001,10,11,4,5,-1,loss,turn_limit_Only War,4
56,-0.269,10,11,0,1,-1,loss,turn_limit_Only War,4
57,-0.8200000000000001,8,9,3,1,2,loss,wipeout_model,4
58,0.023499999999999993,10,11,1,2,-1,loss,turn_limit_Only War,4
59,-0.1275,10,11,0,0,0,draw,turn_limit_Only War,4
60,-1.5055,10,11,0,1,-1,loss,turn_limit_Only War,4
61,0.042499999999999996,10,11,1,0,1,win,turn_limit_Only War,4
62,-0.152,10,11,2,4,-2,loss,turn_limit_Only War,4
63,0.24166666666666675,9,10,2,2,0,loss,wipeout_model,4
64,0.25,10,11,0,2,-2,loss,turn_limit_Only War,4
65,-0.725,10,11,0,1,-1,loss,turn_limit_Only War,4
66,-0.029000000000000005,10,11,4,5,-1,loss,turn_limit_Only War,4
67,-0.598,10,11,0,0,0,draw,turn_limit_Only War,4
68,-1.3025,10,11,2,3,-1,loss,turn_limit_Only War,4
69,0.1855555555555555,9,10,3,3,0,win,wipeout_enemy,4
70,0.122,10,11,2,3,-1,loss,turn_limit_Only War,4
71,-0.44299999999999995,10,11,7,3,4,win,turn_limit_Only War,4
72,-0.6940000000000001,10,11,0,1,-1,loss,turn_limit_Only War,4
73,-0.4835,10,11,0,2,-2,loss,turn_limit_Only War,4
74,-1.031,10,11,2,3,-1,loss,turn_limit_Only War,4
75,-0.49800000000000005,10,11,4,2,2,win,turn_limit_Only War,4
76,-0.301,10,11,0,0,0,draw,turn_limit_Only War,4
77,-0.7110000000000001,10,11,0,1,-1,loss,turn_limit_Only War,4
78,-0.22749999999999998,10,11,2,2,0,draw,turn_limit_Only War,4
79,-0.2385,10,11,0,0,0,draw,turn_limit_Only War,4
