episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,-1.0399999999999998,5,6,0,0,0,draw,turn_limit_Only War,4
2,-1.04,5,6,0,0,0,draw,turn_limit_Only War,4
3,-1.9799999999999998,5,6,2,1,1,win,turn_limit_Only War,4
4,-1.18,5,6,2,0,2,win,turn_limit_Only War,4
5,0.34,5,6,0,1,-1,loss,turn_limit_Only War,4
6,-0.08,5,6,1,1,0,draw,turn_limit_Only War,4
7,-1.42,5,6,0,2,-2,loss,turn_limit_Only War,4
8,-1.44,5,6,0,0,0,draw,turn_limit_Only War,4
9,-1.18,5,6,1,1,0,draw,turn_limit_Only War,4
10,-0.54,5,6,0,0,0,draw,turn_limit_Only War,4
11,-3.72,5,6,0,1,-1,loss,turn_limit_Only War,4
12,-0.52,5,6,1,0,1,win,turn_limit_Only War,4
13,-0.16,5,6,1,0,1,win,turn_limit_Only War,4
14,-1.34,5,6,0,0,0,draw,turn_limit_Only War,4
15,-0.2,5,6,0,0,0,draw,turn_limit_Only War,4
16,0.13999999999999999,5,6,0,2,-2,loss,turn_limit_Only War,4
17,-0.9800000000000001,5,6,0,0,0,draw,turn_limit_Only War,4
18,-0.06,5,6,1,1,0,draw,turn_limit_Only War,4
19,-1.8399999999999999,5,6,1,0,1,win,turn_limit_Only War,4
20,-2.4,5,6,0,0,0,draw,turn_limit_Only War,4
21,-1.6199999999999999,5,6,0,0,0,draw,turn_limit_Only War,4
22,-1.2799999999999998,5,6,1,0,1,win,turn_limit_Only War,4
23,-0.9199999999999999,5,6,2,0,2,win,turn_limit_Only War,4
24,0.31999999999999995,5,6,0,1,-1,loss,turn_limit_Only War,4
25,0.020000000000000007,5,6,1,2,-1,loss,turn_limit_Only War,4
26,-0.36,5,6,0,1,-1,loss,turn_limit_Only War,4
27,-1.4999999999999998,5,6,1,0,1,win,turn_limit_Only War,4
28,-1.1199999999999999,5,6,2,1,1,win,turn_limit_Only War,4
29,-1.16,5,6,0,3,-3,loss,turn_limit_Only War,4
30,-1.5,5,6,3,0,3,win,turn_limit_Only War,4
31,-0.16,5,6,0,0,0,draw,turn_limit_Only War,4
32,-0.32,5,6,0,0,0,draw,turn_limit_Only War,4
33,0.1,5,6,2,0,2,win,turn_limit_Only War,4
34,-1.3199999999999998,5,6,0,0,0,draw,turn_limit_Only War,4
35,-0.45999999999999996,5,6,2,0,2,win,turn_limit_Only War,4
36,-1.38,5,6,0,2,-2,loss,turn_limit_Only War,4
37,-1.1400000000000001,5,6,1,2,-1,loss,turn_limit_Only War,4
38,0.020000000000000007,5,6,0,5,-5,loss,turn_limit_Only War,4
39,-1.24,5,6,0,1,-1,loss,turn_limit_Only War,4
40,-1.0799999999999998,5,6,0,2,-2,loss,turn_limit_Only War,4
41,-0.06,5,6,0,0,0,draw,turn_limit_Only War,4
42,-0.22000000000000003,5,6,0,0,0,draw,turn_limit_Only War,4
