episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,0.014999999999999927,7,8,1,2,-1,win,wipeout_enemy,4
2,-0.4375,10,11,0,0,0,draw,turn_limit_Only War,4
3,-0.034499999999999996,10,11,6,10,-4,loss,turn_limit_Only War,4
4,-0.4154999999999999,10,11,5,2,3,win,turn_limit_Only War,4
5,-1.225,10,11,3,1,2,win,turn_limit_Only War,4
6,-0.22349999999999998,10,11,3,9,-6,loss,turn_limit_Only War,4
7,-0.011000000000000003,10,11,5,7,-2,loss,turn_limit_Only War,4
8,-0.595,10,11,2,0,2,win,turn_limit_Only War,4
9,-1.9849999999999999,10,11,1,1,0,draw,turn_limit_Only War,4
10,-1.6,10,11,0,0,0,draw,turn_limit_Only War,4
11,0.30250000000000005,10,11,6,1,5,win,turn_limit_Only War,4
12,-0.601,10,11,5,4,1,win,turn_limit_Only War,4
13,-0.45,10,11,4,0,4,win,turn_limit_Only War,4
14,-1.135,10,11,0,3,-3,loss,turn_limit_Only War,4
15,-0.858,10,11,2,7,-5,loss,turn_limit_Only War,4
16,-0.5924999999999999,10,11,4,6,-2,loss,turn_limit_Only War,4
17,-0.8,10,11,0,3,-3,loss,turn_limit_Only War,4
18,0.0735,10,11,2,5,-3,loss,turn_limit_Only War,4
19,-1.175,10,11,1,0,1,win,turn_limit_Only War,4
20,-2.05,10,11,0,1,-1,loss,turn_limit_Only War,4
21,-1.6625,10,11,0,4,-4,loss,turn_limit_Only War,4
22,-1.02,10,11,7,0,7,win,turn_limit_Only War,4
23,-0.3165,10,11,3,4,-1,loss,turn_limit_Only War,4
24,-0.289,10,11,5,0,5,win,turn_limit_Only War,4
25,-1.125,10,11,1,0,1,win,turn_limit_Only War,4
26,-1.1320000000000001,10,11,4,0,4,win,turn_limit_Only War,4
27,-0.835,10,11,0,0,0,draw,turn_limit_Only War,4
28,-0.695,10,11,2,10,-8,loss,turn_limit_Only War,4
29,-0.43499999999999994,10,11,0,1,-1,loss,turn_limit_Only War,4
30,-1.98,10,11,1,0,1,win,turn_limit_Only War,4
31,-0.736,10,11,4,3,1,win,turn_limit_Only War,4
32,-2.0625,10,11,1,2,-1,loss,turn_limit_Only War,4
33,-1.2685,10,11,0,5,-5,loss,turn_limit_Only War,4
34,-0.705,10,11,1,0,1,win,turn_limit_Only War,4
35,-0.43499999999999994,10,11,0,0,0,draw,turn_limit_Only War,4
36,-2.875,10,11,0,5,-5,loss,turn_limit_Only War,4
37,0.2925,10,11,4,9,-5,loss,turn_limit_Only War,4
38,-0.47000000000000003,10,11,3,0,3,win,turn_limit_Only War,4
39,-0.7455,10,11,1,0,1,win,turn_limit_Only War,4
40,-0.035,10,11,0,0,0,draw,turn_limit_Only War,4
41,-1.645,10,11,0,0,0,draw,turn_limit_Only War,4
42,-1.2025000000000001,10,11,2,7,-5,loss,turn_limit_Only War,4
43,-0.7505,10,11,0,1,-1,loss,turn_limit_Only War,4
44,-1.253,10,11,3,7,-4,loss,turn_limit_Only War,4
45,-0.5405,10,11,7,4,3,win,turn_limit_Only War,4
46,-0.18,10,11,6,0,6,win,turn_limit_Only War,4
47,-0.06799999999999998,10,11,2,1,1,win,turn_limit_Only War,4
48,-0.569,10,11,1,9,-8,loss,turn_limit_Only War,4
49,-0.095,10,11,8,3,5,win,turn_limit_Only War,4
50,-0.8299999999999998,10,11,0,0,0,draw,turn_limit_Only War,4
51,-1.64,10,11,0,1,-1,loss,turn_limit_Only War,4
52,-0.24700000000000003,10,11,5,0,5,win,turn_limit_Only War,4
53,-0.337,10,11,3,1,2,win,turn_limit_Only War,4
54,-1.2899999999999998,10,11,0,9,-9,loss,turn_limit_Only War,4
55,-0.8400000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
56,-1.2449999999999999,10,11,0,0,0,draw,turn_limit_Only War,4
57,-0.1875,10,11,2,0,2,win,turn_limit_Only War,4
58,-0.775,10,11,1,0,1,win,turn_limit_Only War,4
59,-0.497,10,11,0,5,-5,loss,turn_limit_Only War,4
60,-0.8400000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
61,-0.5455,10,11,4,3,1,win,turn_limit_Only War,4
62,-0.9109999999999999,10,11,4,4,0,draw,turn_limit_Only War,4
63,-1.7325,10,11,0,4,-4,loss,turn_limit_Only War,4
64,-1.2349999999999999,10,11,0,0,0,draw,turn_limit_Only War,4
65,-2.3855,10,11,0,5,-5,loss,turn_limit_Only War,4
66,-0.13999999999999999,10,11,6,0,6,win,turn_limit_Only War,4
67,0.08,10,11,1,0,1,win,turn_limit_Only War,4
68,-0.8,10,11,1,4,-3,loss,turn_limit_Only War,4
69,-1.5699999999999998,10,11,0,6,-6,loss,turn_limit_Only War,4
70,-1.645,10,11,0,1,-1,loss,turn_limit_Only War,4
71,-1.2474999999999998,10,11,2,9,-7,loss,turn_limit_Only War,4
72,-0.818,10,11,2,3,-1,loss,turn_limit_Only War,4
73,-1.621,10,11,0,0,0,draw,turn_limit_Only War,4
74,-0.695,10,11,2,0,2,win,turn_limit_Only War,4
75,-0.43,10,11,0,1,-1,loss,turn_limit_Only War,4
76,-0.58,10,11,5,2,3,win,turn_limit_Only War,4
77,-0.9664999999999999,10,11,3,0,3,win,turn_limit_Only War,4
78,-0.2905,10,11,2,0,2,win,turn_limit_Only War,4
79,-2.05,10,11,0,6,-6,loss,turn_limit_Only War,4
80,-0.6325000000000001,10,11,0,3,-3,loss,turn_limit_Only War,4
81,-1.4549999999999998,10,11,4,0,4,win,turn_limit_Only War,4
82,-1.1709999999999998,10,11,4,0,4,win,turn_limit_Only War,4
83,-1.25,10,11,0,1,-1,loss,turn_limit_Only War,4
84,0.5625,10,11,9,5,4,win,turn_limit_Only War,4
85,-1.0539999999999998,10,11,0,3,-3,loss,turn_limit_Only War,4
86,-0.133,10,11,2,4,-2,loss,turn_limit_Only War,4
87,-0.868,10,11,2,1,1,win,turn_limit_Only War,4
88,-0.643,10,11,3,0,3,win,turn_limit_Only War,4
89,-1.765,10,11,0,2,-2,loss,turn_limit_Only War,4
90,-0.7715,10,11,7,2,5,win,turn_limit_Only War,4
91,-1.7399999999999998,10,11,3,0,3,win,turn_limit_Only War,4
92,-1.2349999999999999,10,11,0,0,0,draw,turn_limit_Only War,4
93,-0.29,10,11,2,0,2,win,turn_limit_Only War,4
94,-0.43499999999999994,10,11,0,0,0,draw,turn_limit_Only War,4
95,0.385,10,11,7,14,-7,loss,turn_limit_Only War,4
96,-0.388,10,11,4,5,-1,loss,turn_limit_Only War,4
97,-0.7805,10,11,1,4,-3,loss,turn_limit_Only War,4
98,-0.030000000000000006,10,11,0,0,0,draw,turn_limit_Only War,4
99,-1.4769999999999999,10,11,0,0,0,draw,turn_limit_Only War,4
100,-0.3285,10,11,0,0,0,draw,turn_limit_Only War,4
101,-1.24,10,11,0,0,0,draw,turn_limit_Only War,4
102,-0.31399999999999995,10,11,1,0,1,win,turn_limit_Only War,4
103,-0.29999999999999993,10,11,5,5,0,draw,turn_limit_Only War,4
104,0.1725,10,11,6,1,5,win,turn_limit_Only War,4
105,-1.3175,10,11,0,7,-7,loss,turn_limit_Only War,4
106,-1.1605,10,11,2,0,2,win,turn_limit_Only War,4
107,-0.4685,10,11,0,2,-2,loss,turn_limit_Only War,4
108,-1.2235,10,11,1,0,1,win,turn_limit_Only War,4
109,-1.1264999999999998,10,11,1,0,1,win,turn_limit_Only War,4
110,-1.2455,10,11,0,5,-5,loss,turn_limit_Only War,4
111,-1.1755,10,11,5,0,5,win,turn_limit_Only War,4
112,-0.0955,10,11,4,1,3,win,turn_limit_Only War,4
113,-0.3315,10,11,1,0,1,win,turn_limit_Only War,4
114,-0.43499999999999994,10,11,7,0,7,win,turn_limit_Only War,4
115,-2.309,10,11,1,6,-5,loss,turn_limit_Only War,4
116,-0.53,10,11,3,0,3,win,turn_limit_Only War,4
117,-0.025,10,11,0,0,0,draw,turn_limit_Only War,4
118,-0.727,10,11,0,4,-4,loss,turn_limit_Only War,4
119,-0.445,10,11,0,1,-1,loss,turn_limit_Only War,4
120,-0.8139999999999998,10,11,3,1,2,win,turn_limit_Only War,4
121,-0.43999999999999995,10,11,0,1,-1,loss,turn_limit_Only War,4
122,-0.17149999999999999,10,11,3,0,3,win,turn_limit_Only War,4
123,-1.585,10,11,0,0,0,draw,turn_limit_Only War,4
124,-0.49349999999999994,10,11,0,2,-2,loss,turn_limit_Only War,4
125,-1.7999999999999996,10,11,3,6,-3,loss,turn_limit_Only War,4
126,-0.9800000000000001,10,11,4,0,4,win,turn_limit_Only War,4
127,-0.057499999999999996,10,11,9,4,5,win,turn_limit_Only War,4
128,-1.6075,10,11,0,0,0,draw,turn_limit_Only War,4
129,-1.238,10,11,0,2,-2,loss,turn_limit_Only War,4
130,-0.8309999999999998,10,11,4,1,3,win,turn_limit_Only War,4
131,-0.604,10,11,2,1,1,win,turn_limit_Only War,4
132,-1.2799999999999998,10,11,0,9,-9,loss,turn_limit_Only War,4
133,-1.625,10,11,3,1,2,win,turn_limit_Only War,4
134,-0.38,10,11,1,2,-1,loss,turn_limit_Only War,4
135,-0.3,10,11,5,2,3,win,turn_limit_Only War,4
136,-1.002,10,11,3,0,3,win,turn_limit_Only War,4
137,-1.705,10,11,0,0,0,draw,turn_limit_Only War,4
138,-1.5399999999999998,10,11,2,8,-6,loss,turn_limit_Only War,4
139,-0.5925,10,11,4,4,0,draw,turn_limit_Only War,4
140,-1.255,10,11,0,3,-3,loss,turn_limit_Only War,4
141,-2.075,10,11,0,6,-6,loss,turn_limit_Only War,4
142,-1.85,10,11,3,0,3,win,turn_limit_Only War,4
143,-1.6030000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
144,-1.26,10,11,0,4,-4,loss,turn_limit_Only War,4
145,-1.645,10,11,0,0,0,draw,turn_limit_Only War,4
146,-1.1789999999999998,10,11,0,0,0,draw,turn_limit_Only War,4
147,-0.8799999999999999,10,11,0,9,-9,loss,turn_limit_Only War,4
148,-1.2449999999999999,10,11,0,2,-2,loss,turn_limit_Only War,4
149,-1.315,10,11,0,2,-2,loss,turn_limit_Only War,4
150,-2.3899999999999997,10,11,0,0,0,draw,turn_limit_Only War,4
151,-1.2135,10,11,0,0,0,draw,turn_limit_Only War,4
152,0.03699999999999999,10,11,1,0,1,win,turn_limit_Only War,4
153,-0.501,10,11,5,3,2,win,turn_limit_Only War,4
154,-1.2295,10,11,2,0,2,win,turn_limit_Only War,4
155,-0.02749999999999998,10,11,5,6,-1,loss,turn_limit_Only War,4
156,-1.7099999999999997,10,11,0,0,0,draw,turn_limit_Only War,4
157,-0.33399999999999996,10,11,0,4,-4,loss,turn_limit_Only War,4
158,-0.9309999999999998,10,11,0,0,0,draw,turn_limit_Only War,4
159,-1.9459999999999997,10,11,1,4,-3,loss,turn_limit_Only War,4
160,-1.185,10,11,0,0,0,draw,turn_limit_Only War,4
161,-0.5269999999999999,10,11,3,0,3,win,turn_limit_Only War,4
162,-0.35550000000000004,10,11,7,0,7,win,turn_limit_Only War,4
163,-0.8549999999999999,10,11,0,3,-3,loss,turn_limit_Only War,4
164,-0.445,10,11,4,0,4,win,turn_limit_Only War,4
165,-1.0715,10,11,0,1,-1,loss,turn_limit_Only War,4
166,-1.9934999999999998,10,11,0,3,-3,loss,turn_limit_Only War,4
167,0.11199999999999999,10,11,5,0,5,win,turn_limit_Only War,4
168,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
169,-0.14399999999999996,10,11,4,2,2,win,turn_limit_Only War,4
170,-0.6669999999999999,10,11,5,7,-2,loss,turn_limit_Only War,4
171,-1.2449999999999999,10,11,0,3,-3,loss,turn_limit_Only War,4
172,-0.205,10,11,9,6,3,win,turn_limit_Only War,4
173,0.025,10,11,1,0,1,win,turn_limit_Only War,4
174,-0.906,10,11,0,1,-1,loss,turn_limit_Only War,4
175,0.12250000000000001,10,11,7,0,7,win,turn_limit_Only War,4
176,-0.3125,10,11,1,0,1,win,turn_limit_Only War,4
177,-0.10999999999999999,10,11,5,0,5,win,turn_limit_Only War,4
178,-1.497,10,11,2,6,-4,loss,turn_limit_Only War,4
179,0.265,10,11,6,0,6,win,turn_limit_Only War,4
180,-0.724,10,11,1,0,1,win,turn_limit_Only War,4
181,-0.835,10,11,0,0,0,draw,turn_limit_Only War,4
182,-0.8400000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
183,-1.6605,10,11,2,0,2,win,turn_limit_Only War,4
184,-0.05,10,11,0,2,-2,loss,turn_limit_Only War,4
185,-2.085,10,11,0,9,-9,loss,turn_limit_Only War,4
186,-0.29599999999999993,10,11,5,10,-5,loss,turn_limit_Only War,4
187,-1.6349999999999998,10,11,0,0,0,draw,turn_limit_Only War,4
188,-0.03699999999999999,10,11,12,1,11,win,turn_limit_Only War,4
189,-0.505,10,11,5,2,3,win,turn_limit_Only War,4
190,-0.6775,10,11,5,2,3,win,turn_limit_Only War,4
191,-0.4624999999999999,10,11,6,5,1,win,turn_limit_Only War,4
192,-0.007999999999999967,10,11,9,9,0,draw,turn_limit_Only War,4
193,-1.1995,10,11,1,6,-5,loss,turn_limit_Only War,4
194,-1.24,10,11,0,1,-1,loss,turn_limit_Only War,4
195,-1.515,10,11,5,2,3,win,turn_limit_Only War,4
196,-0.8299999999999998,10,11,1,12,-11,loss,turn_limit_Only War,4
