episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,0.15812500000000002,5,6,2,1,1,win,turn_limit_Only War,4
2,0.225,5,6,1,3,-2,loss,turn_limit_Only War,4
3,-2.1197500000000002,5,6,0,0,0,draw,turn_limit_Only War,4
4,-2.460875,5,6,1,1,0,draw,turn_limit_Only War,4
5,-2.5153749999999997,5,6,1,0,1,win,turn_limit_Only War,4
6,-1.82575,5,6,0,2,-2,loss,turn_limit_Only War,4
7,-1.56675,5,6,1,1,0,draw,turn_limit_Only War,4
8,-1.517375,5,6,0,2,-2,loss,turn_limit_Only War,4
9,-1.6322500000000002,5,6,0,2,-2,loss,turn_limit_Only War,4
10,-2.218,5,6,1,3,-2,loss,turn_limit_Only War,4
11,-1.0158749999999999,5,6,3,1,2,win,turn_limit_Only War,4
12,-0.09525000000000002,5,6,0,1,-1,loss,turn_limit_Only War,4
13,-2.72475,5,6,3,3,0,draw,turn_limit_Only War,4
14,-0.884375,5,6,2,1,1,win,turn_limit_Only War,4
15,-0.73225,5,6,1,2,-1,loss,turn_limit_Only War,4
16,0.013500000000000007,5,6,0,0,0,draw,turn_limit_Only War,4
17,-2.0300000000000002,5,6,0,2,-2,loss,turn_limit_Only War,4
18,-0.8472500000000001,5,6,0,3,-3,loss,turn_limit_Only War,4
19,-0.670375,5,6,0,1,-1,loss,turn_limit_Only War,4
20,-2.3075,5,6,0,0,0,draw,turn_limit_Only War,4
21,-0.9653750000000001,5,6,1,0,1,win,turn_limit_Only War,4
22,0.137875,5,6,0,0,0,draw,turn_limit_Only War,4
23,-1.130625,5,6,0,1,-1,loss,turn_limit_Only War,4
24,-2.9853750000000003,5,6,0,2,-2,loss,turn_limit_Only War,4
25,-1.936,5,6,0,3,-3,loss,turn_limit_Only War,4
26,-0.7768750000000001,5,6,3,0,3,win,turn_limit_Only War,4
27,-0.7025,5,6,1,3,-2,loss,turn_limit_Only War,4
28,-1.42575,5,6,2,1,1,win,turn_limit_Only War,4
29,-0.059375,5,6,0,3,-3,loss,turn_limit_Only War,4
30,-1.545,5,6,2,1,1,win,turn_limit_Only War,4
