episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,0.8396009169484343,6,7,0,0,0,win,wipeout_enemy,4
2,0.4914985809270499,7,8,0,1,-1,win,wipeout_enemy,4
3,0.4283609554858442,7,8,0,1,-1,win,wipeout_enemy,4
4,0.4308993315456344,8,9,0,0,0,win,wipeout_enemy,4
5,0.9933784040613935,8,9,1,1,0,win,wipeout_enemy,4
6,0.4443568936384386,9,10,0,1,-1,win,wipeout_enemy,4
7,-0.28288096784398475,9,10,0,1,-1,loss,wipeout_model,4
8,0.1154167724423486,10,11,0,0,0,draw,turn_limit_Only War,4
9,0.06343343967096081,10,11,0,0,0,draw,turn_limit_Only War,4
10,0.11279149250852652,10,11,0,3,-3,loss,turn_limit_Only War,4
11,0.167289217259653,10,11,0,0,0,draw,turn_limit_Only War,4
12,-0.1505557674885854,10,11,0,1,-1,loss,wipeout_model,4
13,0.7128877711255365,6,7,0,1,-1,win,wipeout_enemy,4
14,0.2825977512142721,8,9,0,1,-1,win,wipeout_enemy,4
15,0.6171845917345208,7,8,0,0,0,win,wipeout_enemy,4
16,-0.4080914242040981,10,11,0,1,-1,loss,turn_limit_Only War,4
17,-0.05390093362176155,10,11,0,0,0,draw,turn_limit_Only War,4
18,-0.17160940465279068,10,11,0,1,-1,loss,turn_limit_Only War,4
19,0.22877811851466573,9,10,0,1,-1,win,wipeout_enemy,4
20,0.015132263827195336,10,11,0,1,-1,loss,turn_limit_Only War,4
21,0.6570013180799517,10,11,0,0,0,win,wipeout_enemy,4
22,0.29401553278246334,10,11,0,1,-1,win,wipeout_enemy,4
23,0.31822718336859734,10,11,0,0,0,draw,turn_limit_Only War,4
24,0.5220725822306916,10,11,0,0,0,win,wipeout_enemy,4
25,-0.32765482413373453,8,9,0,0,0,loss,wipeout_model,4
26,-0.036914228859054,10,11,0,1,-1,loss,turn_limit_Only War,4
27,0.3301706806739863,8,9,0,1,-1,win,wipeout_enemy,4
28,0.6027893619079203,7,8,0,1,-1,win,wipeout_enemy,4
29,-0.24764577795082993,10,11,0,0,0,loss,wipeout_model,4
30,0.6019654859669028,7,8,0,1,-1,win,wipeout_enemy,4
31,0.513564577477583,7,8,0,1,-1,win,wipeout_enemy,4
