episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,-0.4407142857142857,7,8,3,1,2,loss,wipeout_model,4
2,-0.8983333333333334,9,10,2,2,0,win,wipeout_enemy,4
3,-0.7499999999999999,10,11,5,7,-2,loss,turn_limit_Only War,4
4,-0.35,10,11,0,3,-3,loss,turn_limit_Only War,4
5,-0.9914999999999999,10,11,0,4,-4,loss,turn_limit_Only War,4
6,-0.5255,10,11,0,2,-2,loss,turn_limit_Only War,4
7,-0.196,10,11,0,1,-1,loss,turn_limit_Only War,4
8,-0.38150000000000006,10,11,0,1,-1,loss,turn_limit_Only War,4
9,-0.5255,10,11,0,2,-2,loss,turn_limit_Only War,4
10,0.337,10,11,1,6,-5,loss,turn_limit_Only War,4
11,-0.53,10,11,2,6,-4,loss,turn_limit_Only War,4
12,-1.3205,10,11,0,4,-4,loss,turn_limit_Only War,4
13,0.0019999999999999974,10,11,4,4,0,draw,turn_limit_Only War,4
14,-0.9215,10,11,0,1,-1,loss,turn_limit_Only War,4
15,-0.41,10,11,0,1,-1,loss,turn_limit_Only War,4
16,-0.44349999999999995,10,11,0,1,-1,loss,turn_limit_Only War,4
17,-1.2578571428571428,7,8,1,1,0,loss,wipeout_model,4
18,-0.3378571428571428,7,8,0,1,-1,win,wipeout_enemy,4
19,-0.37849999999999995,10,11,4,3,1,win,turn_limit_Only War,4
20,-0.3705555555555555,9,10,1,0,1,loss,wipeout_model,4
21,-0.7625,10,11,1,0,1,loss,wipeout_model,4
22,-1.3885,10,11,0,1,-1,loss,wipeout_model,4
23,0.010499999999999999,10,11,7,3,4,win,turn_limit_Only War,4
24,-0.49799999999999994,10,11,0,2,-2,loss,turn_limit_Only War,4
25,0.1055,10,11,0,0,0,draw,turn_limit_Only War,4
26,-1.3875,10,11,0,3,-3,loss,turn_limit_Only War,4
27,0.027000000000000003,10,11,0,2,-2,loss,turn_limit_Only War,4
28,-0.011999999999999986,10,11,4,2,2,win,turn_limit_Only War,4
29,-0.14799999999999996,10,11,6,1,5,win,turn_limit_Only War,4
30,-0.9530000000000001,10,11,0,1,-1,loss,turn_limit_Only War,4
31,-0.4734999999999999,10,11,0,0,0,draw,turn_limit_Only War,4
32,0.0635,10,11,6,0,6,win,turn_limit_Only War,4
33,0.193,10,11,1,6,-5,loss,turn_limit_Only War,4
34,0.302,10,11,2,1,1,win,wipeout_enemy,4
35,-0.291,10,11,0,3,-3,loss,turn_limit_Only War,4
36,-0.435,9,10,1,2,-1,loss,wipeout_model,4
37,0.5122222222222222,9,10,2,2,0,win,wipeout_enemy,4
38,-0.26222222222222225,9,10,1,0,1,win,wipeout_enemy,4
39,-0.15450000000000003,10,11,0,0,0,draw,turn_limit_Only War,4
40,0.022000000000000013,10,11,4,2,2,win,turn_limit_Only War,4
41,-0.3955,10,11,3,2,1,win,turn_limit_Only War,4
42,-0.07249999999999998,10,11,2,0,2,win,turn_limit_Only War,4
43,-0.1475,10,11,0,0,0,draw,turn_limit_Only War,4
44,-0.3115,10,11,1,2,-1,loss,turn_limit_Only War,4
45,-0.317,10,11,2,7,-5,loss,turn_limit_Only War,4
46,0.06300000000000003,10,11,6,3,3,loss,wipeout_model,4
47,-0.10500000000000001,10,11,0,3,-3,loss,turn_limit_Only War,4
48,-0.3595,10,11,1,4,-3,loss,turn_limit_Only War,4
49,0.8808333333333334,6,7,0,1,-1,win,wipeout_enemy,4
50,-0.08999999999999996,7,8,2,2,0,loss,wipeout_model,4
51,-0.12888888888888883,9,10,3,0,3,loss,wipeout_model,4
52,-1.0205,10,11,2,1,1,win,turn_limit_Only War,4
53,-1.6865,10,11,0,1,-1,loss,turn_limit_Only War,4
54,-0.40285714285714286,7,8,0,0,0,loss,wipeout_model,4
55,-0.558,10,11,1,2,-1,loss,turn_limit_Only War,4
56,-0.006000000000000017,10,11,3,0,3,win,turn_limit_Only War,4
57,-0.34249999999999997,10,11,0,3,-3,loss,turn_limit_Only War,4
58,-0.40249999999999997,10,11,3,5,-2,loss,turn_limit_Only War,4
59,-0.15699999999999997,10,11,0,1,-1,loss,turn_limit_Only War,4
60,-1.443,10,11,1,3,-2,loss,turn_limit_Only War,4
61,-0.2965,10,11,0,0,0,draw,turn_limit_Only War,4
