episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,-0.8333593749999999,8,9,0,1,-1,win,wipeout_enemy,4
2,0.46681249999999996,10,11,2,2,0,win,wipeout_enemy,4
3,-1.6275624999999998,10,11,0,2,-2,loss,turn_limit_Only War,4
4,0.0130625,10,11,0,3,-3,loss,turn_limit_Only War,4
5,-2.4815,10,11,0,5,-5,loss,turn_limit_Only War,4
6,-1.228375,10,11,0,1,-1,loss,turn_limit_Only War,4
7,-0.7330625000000001,10,11,1,2,-1,loss,turn_limit_Only War,4
8,-0.6875,10,11,1,3,-2,loss,turn_limit_Only War,4
9,-2.058875,10,11,0,4,-4,loss,turn_limit_Only War,4
10,-0.6210416666666666,9,10,4,1,3,loss,wipeout_model,4
11,-1.214375,10,11,1,4,-3,loss,turn_limit_Only War,4
12,-0.5093125,10,11,0,0,0,draw,turn_limit_Only War,4
13,-0.13987499999999997,10,11,1,2,-1,loss,turn_limit_Only War,4
14,-1.01575,10,11,1,4,-3,loss,turn_limit_Only War,4
15,-1.8471875,10,11,0,0,0,draw,turn_limit_Only War,4
16,-0.5685625,10,11,5,4,1,win,turn_limit_Only War,4
17,0.30802083333333335,6,7,3,0,3,win,wipeout_enemy,4
18,-0.47887500000000005,10,11,2,1,1,win,turn_limit_Only War,4
19,-1.8234375,10,11,0,0,0,draw,turn_limit_Only War,4
20,-0.4640625,10,11,0,3,-3,loss,turn_limit_Only War,4
21,-1.6172499999999999,10,11,4,0,4,win,turn_limit_Only War,4
22,-1.8245,10,11,0,2,-2,loss,turn_limit_Only War,4
23,-2.6728125,10,11,2,2,0,draw,turn_limit_Only War,4
24,-0.5246875,10,11,0,3,-3,loss,turn_limit_Only War,4
25,-0.4565625000000001,10,11,4,3,1,win,turn_limit_Only War,4
26,0.21515624999999997,8,9,2,1,1,win,wipeout_enemy,4
27,-0.8959999999999999,10,11,0,0,0,draw,turn_limit_Only War,4
28,-0.3455625,10,11,0,2,-2,loss,turn_limit_Only War,4
29,-1.3940277777777776,9,10,0,1,-1,loss,wipeout_model,4
30,-0.25456249999999997,10,11,1,0,1,win,turn_limit_Only War,4
31,-0.4319375,10,11,0,0,0,draw,turn_limit_Only War,4
32,-0.7096250000000001,10,11,1,4,-3,loss,turn_limit_Only War,4
33,-1.2410625,10,11,0,2,-2,loss,turn_limit_Only War,4
34,-1.2476875,10,11,0,0,0,loss,wipeout_model,4
35,-0.320125,10,11,3,0,3,win,turn_limit_Only War,4
36,-0.09737500000000002,10,11,1,3,-2,loss,turn_limit_Only War,4
37,0.36706249999999996,10,11,3,3,0,draw,turn_limit_Only War,4
38,-0.3931875,10,11,6,2,4,win,turn_limit_Only War,4
39,0.1643125,10,11,0,1,-1,loss,turn_limit_Only War,4
40,-0.57175,10,11,3,0,3,win,turn_limit_Only War,4
41,-0.39768749999999997,10,11,3,1,2,loss,wipeout_model,4
42,-1.1260625,10,11,0,2,-2,loss,turn_limit_Only War,4
43,-0.37675000000000003,10,11,5,5,0,draw,turn_limit_Only War,4
44,-1.5849305555555557,9,10,2,2,0,win,wipeout_enemy,4
45,0.372375,10,11,4,4,0,draw,turn_limit_Only War,4
46,-0.7664375,10,11,0,1,-1,loss,turn_limit_Only War,4
47,-0.16,10,11,1,1,0,draw,turn_limit_Only War,4
48,-0.9900625,10,11,0,1,-1,win,wipeout_enemy,4
49,-2.4396875000000002,10,11,1,1,0,draw,turn_limit_Only War,4
