episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,0.8303653708060883,5,6,0,0,0,win,wipeout_enemy,4
2,0.7100915657678893,6,7,0,1,-1,win,wipeout_enemy,4
3,0.7529942705661035,6,7,0,0,0,win,wipeout_enemy,4
4,-0.30228906921977133,9,10,0,0,0,loss,wipeout_model,4
5,0.22064392028485003,10,11,0,1,-1,loss,turn_limit,4
6,0.04625276531744182,10,11,0,0,0,draw,turn_limit,4
7,-0.1352920461000971,10,11,0,1,-1,loss,turn_limit,4
8,0.022587249725895625,10,11,0,0,0,draw,turn_limit,4
9,0.1662730079605455,10,11,0,0,0,draw,turn_limit,4
10,0.41139647370503135,10,11,0,0,0,win,wipeout_enemy,4
11,0.09736075732301143,10,11,0,0,0,draw,turn_limit,4
12,0.24943055701855718,10,11,0,0,0,draw,turn_limit,4
13,0.8150346100068168,6,7,0,1,-1,win,wipeout_enemy,4
14,1.164805568164688,4,5,0,0,0,win,wipeout_enemy,4
15,0.9811436741123242,5,6,0,0,0,win,wipeout_enemy,4
16,0.15839921438899385,10,11,0,0,0,draw,turn_limit,4
17,0.5119680349930891,6,7,0,1,-1,win,wipeout_enemy,4
18,-0.21354470098855108,10,11,0,1,-1,loss,turn_limit,4
19,0.4403779050986085,6,7,0,0,0,win,wipeout_enemy,4
20,0.7596393161001648,8,9,0,1,-1,win,wipeout_enemy,4
21,0.5546852871360103,8,9,0,0,0,win,wipeout_enemy,4
22,0.26465964886982174,8,9,0,0,0,win,wipeout_enemy,4
23,0.7276497765334019,6,7,0,0,0,win,wipeout_enemy,4
24,-0.023850152722161073,10,11,0,0,0,draw,turn_limit,4
25,1.188586364629568,4,5,0,1,-1,win,wipeout_enemy,4
26,0.0026696761951872936,10,11,0,1,-1,loss,turn_limit,4
27,0.594485213605135,6,7,0,1,-1,win,wipeout_enemy,4
28,0.8236583993718894,6,7,0,0,0,win,wipeout_enemy,4
29,0.5122359178899426,7,8,0,0,0,win,wipeout_enemy,4
30,-0.21756661599884208,9,10,0,0,0,loss,wipeout_model,4
31,0.25379798556692185,10,11,0,0,0,draw,turn_limit,4
32,0.5627881369202352,6,7,0,0,0,win,wipeout_enemy,4
33,0.6573348444492503,6,7,0,1,-1,win,wipeout_enemy,4
34,0.757678967397924,6,7,0,1,-1,win,wipeout_enemy,4
35,0.12759528830837996,10,11,0,1,-1,loss,turn_limit,4
36,0.5225383810956508,10,11,0,0,0,win,wipeout_enemy,4
37,0.12142118692092034,10,11,0,0,0,draw,turn_limit,4
38,0.037253537772311364,10,11,0,0,0,draw,turn_limit,4
39,1.2361862763344487,4,5,0,1,-1,win,wipeout_enemy,4
40,1.3382832837390952,4,5,0,0,0,win,wipeout_enemy,4
41,1.049858575063852,4,5,0,1,-1,win,wipeout_enemy,4
42,-0.01703108340555754,10,11,0,0,0,draw,turn_limit,4
43,-0.037115571929653375,10,11,0,0,0,draw,turn_limit,4
44,0.02667095968483696,10,11,0,1,-1,loss,turn_limit,4
