episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,0.52,5,6,2,1,1,win,turn_limit_Only War,4
2,-0.58,5,6,4,1,3,win,turn_limit_Only War,4
3,-0.58,5,6,0,0,0,draw,turn_limit_Only War,4
4,-1.42,5,6,0,1,-1,loss,turn_limit_Only War,4
5,-0.74,5,6,0,0,0,draw,turn_limit_Only War,4
6,0.33999999999999997,5,6,2,1,1,win,turn_limit_Only War,4
7,-0.24,5,6,2,0,2,win,turn_limit_Only War,4
8,-1.56,5,6,0,0,0,draw,turn_limit_Only War,4
9,-0.58,5,6,3,1,2,win,turn_limit_Only War,4
10,-0.6199999999999999,5,6,0,1,-1,loss,turn_limit_Only War,4
11,-0.6,5,6,1,2,-1,loss,turn_limit_Only War,4
12,0.04,5,6,0,3,-3,loss,turn_limit_Only War,4
13,-0.6,5,6,0,1,-1,loss,turn_limit_Only War,4
14,-0.6799999999999999,5,6,0,0,0,draw,turn_limit_Only War,4
15,-1.48,5,6,0,0,0,draw,turn_limit_Only War,4
16,-0.24,5,6,0,2,-2,loss,turn_limit_Only War,4
17,0.42000000000000004,5,6,0,0,0,draw,turn_limit_Only War,4
18,-0.04000000000000002,5,6,1,1,0,draw,turn_limit_Only War,4
19,-0.06,5,6,1,0,1,win,turn_limit_Only War,4
20,-2.6399999999999997,5,6,0,0,0,draw,turn_limit_Only War,4
21,-2.7600000000000002,5,6,0,1,-1,loss,turn_limit_Only War,4
22,-1.98,5,6,0,0,0,draw,turn_limit_Only War,4
23,-1.12,5,6,0,0,0,draw,turn_limit_Only War,4
24,0.36,5,6,0,1,-1,loss,turn_limit_Only War,4
25,-0.54,5,6,0,2,-2,loss,turn_limit_Only War,4
26,-2.04,5,6,1,0,1,win,turn_limit_Only War,4
27,-0.05999999999999996,5,6,1,0,1,win,turn_limit_Only War,4
28,-0.12,5,6,1,0,1,win,turn_limit_Only War,4
29,-0.34,5,6,0,1,-1,loss,turn_limit_Only War,4
30,-1.7799999999999998,5,6,3,2,1,win,turn_limit_Only War,4
31,-1.24,5,6,0,0,0,draw,turn_limit_Only War,4
32,-0.27999999999999997,5,6,2,1,1,win,turn_limit_Only War,4
33,0.16,5,6,3,0,3,win,turn_limit_Only War,4
34,-1.02,5,6,2,0,2,win,turn_limit_Only War,4
35,-0.6799999999999999,5,6,3,1,2,win,turn_limit_Only War,4
36,0.5,5,6,1,4,-3,loss,turn_limit_Only War,4
37,-1.3199999999999998,5,6,0,3,-3,loss,turn_limit_Only War,4
38,-2.32,5,6,2,1,1,win,turn_limit_Only War,4
39,0.33999999999999997,5,6,4,0,4,win,turn_limit_Only War,4
40,-1.7399999999999998,5,6,1,0,1,win,turn_limit_Only War,4
41,-1.7,5,6,0,1,-1,loss,turn_limit_Only War,4
42,-2.1,5,6,0,1,-1,loss,turn_limit_Only War,4
43,-0.4,5,6,1,2,-1,loss,turn_limit_Only War,4
44,-0.45999999999999996,5,6,0,3,-3,loss,turn_limit_Only War,4
45,-2.48,5,6,0,1,-1,loss,turn_limit_Only War,4
46,-1.04,5,6,0,0,0,draw,turn_limit_Only War,4
47,-2.46,5,6,0,2,-2,loss,turn_limit_Only War,4
48,-0.86,5,6,2,0,2,win,turn_limit_Only War,4
49,-0.6399999999999999,5,6,0,1,-1,loss,turn_limit_Only War,4
50,-2.2800000000000002,5,6,0,2,-2,loss,turn_limit_Only War,4
51,-1.34,5,6,1,0,1,win,turn_limit_Only War,4
52,-1.48,5,6,0,0,0,draw,turn_limit_Only War,4
53,0.13999999999999999,5,6,3,1,2,win,turn_limit_Only War,4
54,-1.86,5,6,1,0,1,win,turn_limit_Only War,4
55,-1.06,5,6,1,1,0,draw,turn_limit_Only War,4
56,-0.6,5,6,2,2,0,draw,turn_limit_Only War,4
57,-0.13999999999999999,5,6,3,2,1,win,turn_limit_Only War,4
58,-0.62,5,6,0,0,0,draw,turn_limit_Only War,4
59,-0.34,5,6,1,2,-1,loss,turn_limit_Only War,4
60,-1.5399999999999998,5,6,0,1,-1,loss,turn_limit_Only War,4
61,-1.5,5,6,0,1,-1,loss,turn_limit_Only War,4
62,0.27999999999999997,5,6,0,1,-1,loss,turn_limit_Only War,4
63,0.19999999999999998,5,6,2,0,2,win,turn_limit_Only War,4
64,-3.02,5,6,0,0,0,draw,turn_limit_Only War,4
65,-1.1400000000000001,5,6,0,0,0,draw,turn_limit_Only War,4
66,-0.8399999999999999,5,6,3,0,3,win,turn_limit_Only War,4
67,-1.1400000000000001,5,6,2,1,1,win,turn_limit_Only War,4
68,-2.2800000000000002,5,6,1,1,0,draw,turn_limit_Only War,4
69,-2.2800000000000002,5,6,0,1,-1,loss,turn_limit_Only War,4
70,-1.26,5,6,4,0,4,win,turn_limit_Only War,4
71,-1.8199999999999998,5,6,0,2,-2,loss,turn_limit_Only War,4
72,-0.96,5,6,1,0,1,win,turn_limit_Only War,4
73,-0.44000000000000006,5,6,0,0,0,draw,turn_limit_Only War,4
74,-1.2799999999999998,5,6,0,2,-2,loss,turn_limit_Only War,4
75,-1.5,5,6,0,0,0,draw,turn_limit_Only War,4
76,-1.18,5,6,4,1,3,win,turn_limit_Only War,4
77,0.32,5,6,1,1,0,draw,turn_limit_Only War,4
78,-1.38,5,6,0,0,0,draw,turn_limit_Only War,4
79,-1.6199999999999999,5,6,5,1,4,win,turn_limit_Only War,4
80,-1.42,5,6,0,0,0,draw,turn_limit_Only War,4
81,0.019999999999999973,5,6,1,0,1,win,turn_limit_Only War,4
82,-0.08000000000000002,5,6,0,1,-1,loss,turn_limit_Only War,4
83,-1.16,5,6,2,1,1,win,turn_limit_Only War,4
84,-1.22,5,6,3,1,2,win,turn_limit_Only War,4
85,-0.62,5,6,0,0,0,draw,turn_limit_Only War,4
86,-0.36000000000000004,5,6,0,1,-1,loss,turn_limit_Only War,4
