episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,-0.10812499999999997,8,9,3,2,1,win,wipeout_enemy,4
2,-0.7075,8,9,2,1,1,loss,wipeout_model,4
3,-0.6154999999999999,10,11,1,1,0,draw,turn_limit_Only War,4
4,-0.3495,10,11,0,3,-3,loss,turn_limit_Only War,4
5,-0.9569999999999999,10,11,0,3,-3,loss,turn_limit_Only War,4
6,-1.3575,10,11,0,3,-3,loss,turn_limit_Only War,4
7,-1.5165,10,11,7,3,4,win,turn_limit_Only War,4
8,-0.354,10,11,1,1,0,draw,turn_limit_Only War,4
9,0.04050000000000001,10,11,4,3,1,win,turn_limit_Only War,4
10,-1.006,10,11,4,1,3,win,turn_limit_Only War,4
11,-0.19949999999999998,10,11,0,1,-1,loss,turn_limit_Only War,4
12,0.0025000000000000057,10,11,5,0,5,win,turn_limit_Only War,4
13,0.0495,10,11,2,3,-1,loss,turn_limit_Only War,4
14,-0.9244999999999999,10,11,1,4,-3,loss,turn_limit_Only War,4
15,-0.5135,10,11,5,4,1,win,turn_limit_Only War,4
16,-0.016500000000000008,10,11,1,3,-2,loss,turn_limit_Only War,4
17,-1.0016666666666667,3,4,0,0,0,win,wipeout_enemy,4
18,-0.14166666666666672,6,7,2,2,0,win,wipeout_enemy,4
19,0.24928571428571436,7,8,1,1,0,win,wipeout_enemy,4
20,-0.12624999999999995,8,9,4,2,2,loss,wipeout_model,4
21,0.508888888888889,9,10,4,0,4,win,wipeout_enemy,4
22,0.35300000000000004,10,11,7,2,5,win,turn_limit_Only War,4
23,-0.11100000000000002,10,11,4,0,4,win,turn_limit_Only War,4
24,-0.5944999999999999,10,11,0,5,-5,loss,turn_limit_Only War,4
25,-0.06499999999999997,10,11,4,2,2,loss,wipeout_model,4
26,-0.376,10,11,0,0,0,draw,turn_limit_Only War,4
27,-0.512,10,11,2,3,-1,loss,turn_limit_Only War,4
28,-1.044,10,11,0,0,0,draw,turn_limit_Only War,4
29,-0.077,10,11,0,2,-2,loss,turn_limit_Only War,4
30,-0.518,10,11,0,3,-3,loss,turn_limit_Only War,4
31,-0.39799999999999996,10,11,0,3,-3,loss,turn_limit_Only War,4
32,0.027500000000000007,10,11,0,0,0,draw,turn_limit_Only War,4
33,-0.292,10,11,0,2,-2,loss,turn_limit_Only War,4
34,0.5335,10,11,4,5,-1,loss,turn_limit_Only War,4
35,0.03625000000000017,4,5,2,1,1,win,wipeout_enemy,4
36,-0.05750000000000001,10,11,0,4,-4,loss,turn_limit_Only War,4
37,-0.006666666666666658,6,7,0,0,0,win,wipeout_enemy,4
38,-0.4805,10,11,7,0,7,win,turn_limit_Only War,4
39,-0.59,10,11,0,1,-1,loss,turn_limit_Only War,4
40,0.046999999999999986,10,11,3,2,1,win,turn_limit_Only War,4
41,-0.46950000000000003,10,11,2,0,2,win,turn_limit_Only War,4
42,-1.0965,10,11,2,3,-1,loss,turn_limit_Only War,4
