episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,0.7695801206409455,7,8,0,0,0,win,wipeout_enemy,4
2,0.566864876370404,9,10,0,1,-1,win,wipeout_enemy,4
3,0.28830851939654323,10,11,0,1,-1,loss,turn_limit_Only War,4
4,0.0859048065248397,10,11,0,1,-1,loss,turn_limit_Only War,4
5,0.14197120349912778,10,11,0,0,0,draw,turn_limit_Only War,4
6,0.1583921037673718,10,11,0,0,0,draw,turn_limit_Only War,4
7,0.08932109086579144,10,11,0,0,0,draw,turn_limit_Only War,4
8,0.6299938323253287,10,11,4,3,1,win,turn_limit_Only War,4
9,0.10086673547444117,10,11,0,1,-1,loss,turn_limit_Only War,4
10,0.16484839266643778,10,11,0,0,0,draw,turn_limit_Only War,4
11,0.2383045726901781,10,11,0,2,-2,loss,turn_limit_Only War,4
12,0.16548756582085405,10,11,0,1,-1,loss,turn_limit_Only War,4
13,1.5562970585407785,5,6,2,1,1,win,wipeout_enemy,4
14,0.24503132322560459,10,11,0,0,0,draw,turn_limit_Only War,4
15,0.6699860625948998,8,9,0,0,0,win,wipeout_enemy,4
16,0.046587552286497066,8,9,0,1,-1,loss,wipeout_model,4
17,0.5579987081849763,9,10,0,0,0,win,wipeout_enemy,4
18,0.3797855583051383,10,11,0,0,0,draw,turn_limit_Only War,4
19,0.37090175425099137,10,11,2,0,2,win,turn_limit_Only War,4
20,0.2610750632197021,10,11,0,2,-2,loss,turn_limit_Only War,4
21,0.5250896490364595,10,11,0,0,0,win,wipeout_enemy,4
22,0.34096884135879024,10,11,0,2,-2,loss,turn_limit_Only War,4
23,0.1954442859411619,10,11,0,0,0,draw,turn_limit_Only War,4
24,0.26195594038685377,10,11,0,0,0,draw,turn_limit_Only War,4
25,0.8415641716218417,6,7,0,0,0,win,wipeout_enemy,4
26,0.9455498183199419,5,6,0,1,-1,win,wipeout_enemy,4
27,0.8672773061455388,5,6,0,1,-1,win,wipeout_enemy,4
28,0.8965805455214749,6,7,0,0,0,win,wipeout_enemy,4
29,0.7331437299137288,7,8,0,0,0,win,wipeout_enemy,4
30,0.20872680949071415,10,11,0,0,0,draw,turn_limit_Only War,4
31,0.23026732497732477,10,11,0,1,-1,loss,turn_limit_Only War,4
32,0.32253103975430447,10,11,1,3,-2,loss,turn_limit_Only War,4
33,0.1679571103365397,10,11,0,0,0,draw,turn_limit_Only War,4
34,0.47939254129525555,9,10,0,0,0,win,wipeout_enemy,4
35,0.7662149020662892,9,10,0,0,0,win,wipeout_enemy,4
36,0.04095140209566838,10,11,0,0,0,draw,turn_limit_Only War,4
37,0.5015,10,11,3,0,3,win,turn_limit_Only War,4
38,0.5208192105697429,8,9,0,0,0,win,wipeout_enemy,4
39,0.16201189802081434,10,11,0,1,-1,loss,turn_limit_Only War,4
40,0.30850392670166904,10,11,0,0,0,draw,turn_limit_Only War,4
41,0.2643695250575589,10,11,0,1,-1,loss,turn_limit_Only War,4
42,0.02716939334180072,10,11,0,0,0,draw,turn_limit_Only War,4
43,0.22949039898343598,10,11,0,0,0,draw,turn_limit_Only War,4
44,0.2994442719099991,10,11,0,1,-1,loss,turn_limit_Only War,4
45,0.19994091669039168,10,11,0,2,-2,loss,turn_limit_Only War,4
46,0.5965018704065,8,9,0,0,0,win,wipeout_enemy,4
47,0.28912435032486994,10,11,0,1,-1,loss,turn_limit_Only War,4
48,0.20316746806305228,10,11,0,0,0,draw,turn_limit_Only War,4
49,0.1590214980392985,10,11,0,2,-2,loss,turn_limit_Only War,4
50,1.3398027067555598,6,7,1,1,0,win,wipeout_enemy,4
51,0.17704248657764027,10,11,0,0,0,draw,turn_limit_Only War,4
52,0.4096160440929636,10,11,0,0,0,draw,turn_limit_Only War,4
53,0.6692819400932742,7,8,0,0,0,win,wipeout_enemy,4
54,0.25655774438103374,10,11,0,0,0,draw,turn_limit_Only War,4
55,0.11117700360289588,10,11,0,0,0,draw,turn_limit_Only War,4
56,0.5035396039629889,8,9,0,0,0,win,wipeout_enemy,4
57,-0.0334044134400525,10,11,0,1,-1,loss,turn_limit_Only War,4
58,-0.5214329546105924,7,8,0,0,0,loss,wipeout_model,4
59,0.27519958909391895,10,11,0,0,0,draw,turn_limit_Only War,4
60,0.39731935923934214,10,11,3,1,2,win,turn_limit_Only War,4
61,0.3105575291865347,10,11,0,0,0,draw,turn_limit_Only War,4
62,0.3126595874788181,10,11,0,0,0,draw,turn_limit_Only War,4
63,0.7004701066365107,7,8,0,1,-1,win,wipeout_enemy,4
64,0.5663642563392799,7,8,0,1,-1,win,wipeout_enemy,4
65,0.357914943301301,10,11,0,0,0,draw,turn_limit_Only War,4
66,0.3200036118467706,10,11,0,1,-1,loss,turn_limit_Only War,4
67,0.5222176098394531,10,11,1,1,0,draw,turn_limit_Only War,4
68,0.1665,10,11,0,0,0,draw,turn_limit_Only War,4
69,0.202502559633366,10,11,0,0,0,draw,turn_limit_Only War,4
70,0.08216590180045834,9,10,1,0,1,loss,wipeout_model,4
71,0.5504012367036101,9,10,0,1,-1,win,wipeout_enemy,4
72,0.7402281499049713,8,9,0,2,-2,win,wipeout_enemy,4
73,0.12099352334896352,10,11,0,1,-1,loss,turn_limit_Only War,4
74,0.32911582516095306,10,11,0,1,-1,loss,turn_limit_Only War,4
75,0.19065898890117217,10,11,0,0,0,draw,turn_limit_Only War,4
76,0.7679726436725481,8,9,0,0,0,win,wipeout_enemy,4
77,0.4174710383358815,10,11,0,2,-2,loss,turn_limit_Only War,4
78,0.6779858753370898,7,8,0,0,0,win,wipeout_enemy,4
79,0.9169252568664277,6,7,0,0,0,win,wipeout_enemy,4
80,0.3160756076450059,10,11,0,0,0,draw,turn_limit_Only War,4
81,0.38111628197786007,10,11,1,0,1,win,turn_limit_Only War,4
82,0.1319599002187289,10,11,0,0,0,draw,turn_limit_Only War,4
83,0.23057279223208882,10,11,0,0,0,draw,turn_limit_Only War,4
84,0.19936609907384711,10,11,0,1,-1,loss,turn_limit_Only War,4
85,0.5961509857682022,10,11,7,0,7,win,turn_limit_Only War,4
86,0.24716531822754884,10,11,0,2,-2,loss,turn_limit_Only War,4
87,0.38135115519737056,10,11,2,0,2,win,turn_limit_Only War,4
88,0.7580100179072564,10,11,5,0,5,win,turn_limit_Only War,4
89,0.058512377759946096,10,11,0,0,0,draw,turn_limit_Only War,4
90,0.26518024316854333,10,11,0,0,0,draw,turn_limit_Only War,4
91,0.23330280237413697,10,11,0,1,-1,loss,turn_limit_Only War,4
92,0.8175,6,7,0,0,0,win,wipeout_enemy,4
93,0.6399650496717176,8,9,0,0,0,win,wipeout_enemy,4
94,0.16974996841441084,9,10,4,1,3,loss,wipeout_model,4
95,0.06105766283741879,10,11,0,0,0,draw,turn_limit_Only War,4
96,0.3607677816308314,10,11,0,2,-2,loss,turn_limit_Only War,4
97,0.2501168819513141,10,11,0,2,-2,loss,turn_limit_Only War,4
98,0.2536896201004171,10,11,0,0,0,draw,turn_limit_Only War,4
99,0.7888687838087193,6,7,0,1,-1,win,wipeout_enemy,4
100,0.5017067188010105,10,11,5,0,5,win,turn_limit_Only War,4
101,0.35120379181625655,10,11,0,0,0,draw,turn_limit_Only War,4
102,0.3493060420140337,10,11,3,1,2,win,turn_limit_Only War,4
103,0.38138200945097667,10,11,0,1,-1,loss,turn_limit_Only War,4
104,0.740621230114294,9,10,0,1,-1,win,wipeout_enemy,4
105,-0.14110166171629196,10,11,0,1,-1,loss,turn_limit_Only War,4
106,-0.1454336022155919,10,11,0,0,0,loss,wipeout_model,4
107,0.5426118742080783,10,11,3,3,0,draw,turn_limit_Only War,4
108,0.23346616050331703,10,11,0,0,0,draw,turn_limit_Only War,4
109,0.3778893316162946,10,11,0,1,-1,loss,turn_limit_Only War,4
110,0.2701715673052709,10,11,0,0,0,draw,turn_limit_Only War,4
111,0.30159753288184227,10,11,0,1,-1,loss,turn_limit_Only War,4
112,-0.14308346779430686,7,8,0,2,-2,loss,wipeout_model,4
113,0.7464313076594984,7,8,0,1,-1,win,wipeout_enemy,4
114,0.0882666092631392,10,11,0,0,0,draw,turn_limit_Only War,4
115,0.2364207353811656,10,11,0,1,-1,loss,turn_limit_Only War,4
116,0.33281058079729353,10,11,0,2,-2,loss,turn_limit_Only War,4
117,0.2146069947027352,10,11,0,0,0,draw,turn_limit_Only War,4
118,0.344860287023509,10,11,0,0,0,draw,turn_limit_Only War,4
119,0.41699632383850627,10,11,5,0,5,win,turn_limit_Only War,4
120,0.26253373164991495,10,11,0,0,0,draw,turn_limit_Only War,4
121,0.08979122130534602,10,11,0,0,0,draw,turn_limit_Only War,4
122,0.35745384092943033,10,11,0,1,-1,loss,turn_limit_Only War,4
123,0.3603164186097716,10,11,0,1,-1,loss,turn_limit_Only War,4
124,0.20227102436060235,10,11,0,0,0,draw,turn_limit_Only War,4
125,0.9480703633419145,5,6,0,1,-1,win,wipeout_enemy,4
126,0.5951991709418997,9,10,0,1,-1,win,wipeout_enemy,4
127,0.3896013349586314,10,11,0,2,-2,loss,turn_limit_Only War,4
128,0.28861209049425335,10,11,0,0,0,draw,turn_limit_Only War,4
129,0.21701103970357302,10,11,0,0,0,draw,turn_limit_Only War,4
130,0.32679055561606984,10,11,0,0,0,draw,turn_limit_Only War,4
131,0.22419127769036823,10,11,0,0,0,draw,turn_limit_Only War,4
132,0.2778745724918254,10,11,0,0,0,draw,turn_limit_Only War,4
133,0.04641301669572883,10,11,0,1,-1,loss,turn_limit_Only War,4
134,0.17764852927038918,10,11,1,3,-2,loss,turn_limit_Only War,4
135,0.06926506805496022,10,11,0,1,-1,loss,turn_limit_Only War,4
136,0.27133772233983167,10,11,0,2,-2,loss,turn_limit_Only War,4
137,0.5679540569581318,10,11,1,0,1,win,turn_limit_Only War,4
138,0.2140662288446801,10,11,2,1,1,win,turn_limit_Only War,4
139,0.8497602989750762,5,6,0,1,-1,win,wipeout_enemy,4
140,0.03735474875819313,9,10,0,0,0,loss,wipeout_model,4
141,0.10357774721070176,10,11,0,1,-1,loss,turn_limit_Only War,4
142,0.7617229777838025,7,8,0,0,0,win,wipeout_enemy,4
143,0.36019159573028736,10,11,0,1,-1,loss,turn_limit_Only War,4
144,0.19235556280028174,10,11,0,0,0,draw,turn_limit_Only War,4
145,0.30220347846846257,10,11,2,2,0,draw,turn_limit_Only War,4
146,0.1456068592057648,10,11,0,0,0,draw,turn_limit_Only War,4
147,0.06425674389666067,10,11,0,0,0,draw,turn_limit_Only War,4
148,0.7846635531251027,6,7,0,0,0,win,wipeout_enemy,4
149,0.22803942248916492,10,11,0,1,-1,loss,turn_limit_Only War,4
150,0.43460261396759864,10,11,1,2,-1,loss,turn_limit_Only War,4
151,0.09007387172071687,10,11,0,1,-1,loss,turn_limit_Only War,4
152,0.11252534792560427,10,11,0,2,-2,loss,turn_limit_Only War,4
153,0.32797018477286427,10,11,0,2,-2,loss,turn_limit_Only War,4
154,0.26731667368253903,10,11,0,1,-1,loss,turn_limit_Only War,4
155,0.24669539292383275,10,11,0,1,-1,loss,turn_limit_Only War,4
156,0.7221957189578965,9,10,0,0,0,win,wipeout_enemy,4
157,-0.07750855772190615,10,11,0,2,-2,loss,wipeout_model,4
158,0.14973169212390186,10,11,0,0,0,draw,turn_limit_Only War,4
159,0.22615182024053265,10,11,0,1,-1,loss,turn_limit_Only War,4
160,0.2693969358466755,10,11,0,0,0,draw,turn_limit_Only War,4
161,0.23295485929485232,10,11,0,1,-1,loss,turn_limit_Only War,4
162,1.0982089876559564,6,7,0,1,-1,win,wipeout_enemy,4
163,0.4736802586028677,10,11,0,2,-2,loss,turn_limit_Only War,4
164,0.22214203908492575,10,11,0,1,-1,loss,turn_limit_Only War,4
165,-0.1357131530423568,8,9,1,0,1,loss,wipeout_model,4
166,0.3108736487206962,10,11,0,0,0,draw,turn_limit_Only War,4
167,0.2172215267522682,10,11,0,2,-2,loss,turn_limit_Only War,4
168,0.0733830249934099,10,11,0,0,0,loss,wipeout_model,4
169,0.8957582319396501,7,8,0,0,0,win,wipeout_enemy,4
170,0.2586295445779356,10,11,0,1,-1,loss,turn_limit_Only War,4
171,0.6914555382460025,8,9,0,0,0,win,wipeout_enemy,4
172,0.6641600423544833,9,10,0,1,-1,win,wipeout_enemy,4
173,0.30038201416170063,10,11,0,0,0,draw,turn_limit_Only War,4
174,0.19778302185164465,10,11,0,0,0,draw,turn_limit_Only War,4
175,0.18507791724820702,10,11,0,0,0,draw,turn_limit_Only War,4
176,0.20876329069949734,10,11,0,0,0,draw,turn_limit_Only War,4
177,0.17932062657969944,10,11,0,0,0,draw,turn_limit_Only War,4
178,0.3445330164044721,10,11,0,0,0,draw,turn_limit_Only War,4
179,0.20047866367767445,10,11,0,0,0,draw,turn_limit_Only War,4
180,0.7685794054036661,6,7,0,0,0,win,wipeout_enemy,4
181,0.4422874176605068,10,11,0,1,-1,loss,turn_limit_Only War,4
182,0.28800791980218926,10,11,0,4,-4,loss,turn_limit_Only War,4
183,0.31454595383004325,10,11,1,0,1,win,turn_limit_Only War,4
