episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,-1.2962500000000001,10,11,1,2,-1,loss,turn_limit_Only War,4
2,-1.8487500000000001,10,11,0,2,-2,loss,turn_limit_Only War,4
3,-1.461125,10,11,0,3,-3,loss,turn_limit_Only War,4
4,-0.8840625,10,11,3,3,0,draw,turn_limit_Only War,4
5,0.05,10,11,0,0,0,draw,turn_limit_Only War,4
6,0.2925,10,11,5,2,3,win,turn_limit_Only War,4
7,-3.416875,10,11,0,0,0,draw,turn_limit_Only War,4
8,-0.553125,10,11,0,0,0,draw,turn_limit_Only War,4
9,-2.023375,10,11,0,1,-1,loss,turn_limit_Only War,4
10,-0.6500625,10,11,8,1,7,win,turn_limit_Only War,4
11,-1.7034375000000002,10,11,4,0,4,win,turn_limit_Only War,4
12,-0.9181250000000001,10,11,4,0,4,win,turn_limit_Only War,4
13,0.4803125,10,11,6,3,3,win,turn_limit_Only War,4
14,-0.1,10,11,6,0,6,win,turn_limit_Only War,4
15,-1.303125,10,11,4,4,0,draw,turn_limit_Only War,4
16,-1.4434375,10,11,4,2,2,win,turn_limit_Only War,4
17,-1.4076875000000002,10,11,3,2,1,win,turn_limit_Only War,4
18,-2.410125,10,11,1,1,0,draw,turn_limit_Only War,4
19,-0.85375,10,11,3,1,2,win,turn_limit_Only War,4
20,-2.5305,10,11,1,2,-1,loss,turn_limit_Only War,4
21,0.004687499999999999,10,11,0,4,-4,loss,turn_limit_Only War,4
22,-2.4706249999999996,10,11,0,2,-2,loss,turn_limit_Only War,4
23,-1.2,10,11,0,3,-3,loss,turn_limit_Only War,4
24,-0.2,10,11,2,1,1,win,turn_limit_Only War,4
25,-0.8031874999999999,10,11,3,0,3,win,turn_limit_Only War,4
26,-2.1865625,10,11,3,0,3,win,turn_limit_Only War,4
27,0.1834375,10,11,5,3,2,win,turn_limit_Only War,4
28,-0.8472500000000001,10,11,0,2,-2,loss,turn_limit_Only War,4
29,-0.5409375,10,11,0,2,-2,loss,turn_limit_Only War,4
30,-1.1625,10,11,2,1,1,win,turn_limit_Only War,4
31,-0.563125,10,11,8,2,6,win,turn_limit_Only War,4
32,-0.6396875,10,11,2,1,1,win,turn_limit_Only War,4
33,-2.77625,10,11,0,0,0,draw,turn_limit_Only War,4
34,-1.8,10,11,0,0,0,draw,turn_limit_Only War,4
35,0.033125,10,11,0,3,-3,loss,turn_limit_Only War,4
36,-1.1,10,11,1,1,0,draw,turn_limit_Only War,4
37,-0.926375,10,11,1,0,1,win,turn_limit_Only War,4
38,0.1403125,10,11,3,5,-2,loss,turn_limit_Only War,4
39,-0.5809375,10,11,2,1,1,win,turn_limit_Only War,4
40,-0.16500000000000004,10,11,3,2,1,win,turn_limit_Only War,4
41,-2.4050000000000002,10,11,0,2,-2,loss,turn_limit_Only War,4
42,-2.35,10,11,1,1,0,draw,turn_limit_Only War,4
43,-1.457375,10,11,3,1,2,win,turn_limit_Only War,4
44,-1.1434374999999999,10,11,0,6,-6,loss,turn_limit_Only War,4
45,-0.4953125,10,11,2,0,2,win,turn_limit_Only War,4
46,-0.516875,10,11,4,0,4,win,turn_limit_Only War,4
47,-0.9353125,10,11,0,1,-1,loss,turn_limit_Only War,4
48,-0.6375,10,11,0,0,0,draw,turn_limit_Only War,4
49,0.4,10,11,7,1,6,win,turn_limit_Only War,4
50,-0.15,10,11,2,0,2,win,turn_limit_Only War,4
51,-0.559375,10,11,8,5,3,win,turn_limit_Only War,4
52,0.2328125,10,11,5,2,3,win,turn_limit_Only War,4
53,-1.3904999999999998,10,11,6,2,4,win,turn_limit_Only War,4
54,-1.4498125,10,11,0,1,-1,loss,turn_limit_Only War,4
55,-1.2729374999999998,10,11,3,2,1,win,turn_limit_Only War,4
56,-0.1,10,11,6,1,5,win,turn_limit_Only War,4
57,-0.853125,10,11,5,2,3,win,turn_limit_Only War,4
58,0.29375,10,11,6,0,6,win,turn_limit_Only War,4
59,-0.55,10,11,1,0,1,win,turn_limit_Only War,4
60,-0.45,10,11,3,0,3,win,turn_limit_Only War,4
61,-0.6109375,10,11,0,1,-1,loss,turn_limit_Only War,4
62,0.30843750000000003,10,11,3,1,2,win,turn_limit_Only War,4
63,-1.4515625,10,11,10,2,8,win,turn_limit_Only War,4
64,-1.1,10,11,3,4,-1,loss,turn_limit_Only War,4
65,-0.953125,10,11,1,3,-2,loss,turn_limit_Only War,4
66,-0.95,10,11,3,0,3,win,turn_limit_Only War,4
67,0.0,10,11,0,1,-1,loss,turn_limit_Only War,4
68,-1.0578125,10,11,0,2,-2,loss,turn_limit_Only War,4
69,-0.25,10,11,3,1,2,win,turn_limit_Only War,4
70,-0.3715625,10,11,0,0,0,draw,turn_limit_Only War,4
71,-2.4,10,11,0,2,-2,loss,turn_limit_Only War,4
72,-0.2,10,11,6,3,3,win,turn_limit_Only War,4
73,-0.5509375000000001,10,11,1,3,-2,loss,turn_limit_Only War,4
74,-0.6109375,10,11,5,0,5,win,turn_limit_Only War,4
75,-0.9665625,10,11,4,3,1,win,turn_limit_Only War,4
76,0.31375000000000003,10,11,3,0,3,win,turn_limit_Only War,4
77,-0.5703125,10,11,0,2,-2,loss,turn_limit_Only War,4
78,-1.1134375,10,11,0,3,-3,loss,turn_limit_Only War,4
79,-0.20656250000000004,10,11,3,0,3,win,turn_limit_Only War,4
80,-0.265,10,11,5,0,5,win,turn_limit_Only War,4
81,-1.2,10,11,0,1,-1,loss,turn_limit_Only War,4
