episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,2.023,5,6,4,0,4,win,wipeout_enemy,4
2,0.36,5,6,2,0,2,win,wipeout_enemy,4
3,-0.6516666666666666,9,10,0,0,0,loss,wipeout_model,4
4,-0.098,10,11,0,5,-5,loss,turn_limit_Only War,4
5,-0.11850000000000001,10,11,3,2,1,loss,wipeout_model,4
6,-0.376,10,11,0,4,-4,loss,turn_limit_Only War,4
7,0.008499999999999999,10,11,1,0,1,win,turn_limit_Only War,4
8,-0.2765,10,11,0,3,-3,loss,turn_limit_Only War,4
9,-0.028499999999999963,10,11,0,0,0,loss,wipeout_model,4
10,-0.537,10,11,1,4,-3,loss,turn_limit_Only War,4
11,-0.7324999999999999,10,11,0,1,-1,loss,wipeout_model,4
12,-1.3579999999999999,10,11,0,3,-3,loss,turn_limit_Only War,4
13,0.265,10,11,5,0,5,win,wipeout_enemy,4
14,-0.25749999999999995,10,11,0,4,-4,loss,turn_limit_Only War,4
15,0.15650000000000003,10,11,0,1,-1,win,wipeout_enemy,4
16,-0.313,10,11,1,0,1,win,turn_limit_Only War,4
17,-0.40750000000000003,10,11,2,0,2,win,turn_limit_Only War,4
18,-0.42299999999999993,10,11,0,2,-2,loss,turn_limit_Only War,4
19,0.5671428571428572,7,8,0,1,-1,win,wipeout_enemy,4
20,-0.625,8,9,0,3,-3,loss,wipeout_model,4
21,-0.5595,10,11,0,3,-3,loss,turn_limit_Only War,4
22,-0.24055555555555555,9,10,0,3,-3,loss,wipeout_model,4
23,0.07600000000000004,10,11,7,2,5,win,turn_limit_Only War,4
24,-0.3295,10,11,1,0,1,win,turn_limit_Only War,4
25,-1.3245,10,11,0,1,-1,loss,turn_limit_Only War,4
26,0.0885,10,11,0,4,-4,loss,turn_limit_Only War,4
27,0.2780000000000001,10,11,7,2,5,loss,wipeout_model,4
28,0.149,10,11,0,1,-1,loss,turn_limit_Only War,4
29,0.0695,10,11,3,1,2,win,turn_limit_Only War,4
30,-0.22599999999999998,10,11,2,2,0,draw,turn_limit_Only War,4
31,-0.8074999999999999,10,11,0,1,-1,loss,turn_limit_Only War,4
32,-0.43599999999999994,10,11,1,2,-1,loss,turn_limit_Only War,4
33,-0.14857142857142855,7,8,1,0,1,loss,wipeout_model,4
34,0.993,5,6,0,2,-2,win,wipeout_enemy,4
35,-0.018000000000000013,10,11,0,6,-6,loss,turn_limit_Only War,4
36,0.345,6,7,0,1,-1,win,wipeout_enemy,4
37,-0.8029999999999999,10,11,0,0,0,draw,turn_limit_Only War,4
38,-1.6335714285714285,7,8,2,1,1,loss,wipeout_model,4
39,-1.0144444444444443,9,10,1,3,-2,loss,wipeout_model,4
40,-0.1865,10,11,0,3,-3,loss,turn_limit_Only War,4
41,-0.0895,10,11,3,0,3,win,turn_limit_Only War,4
42,-0.841,10,11,1,1,0,draw,turn_limit_Only War,4
43,-0.3995,10,11,0,1,-1,loss,turn_limit_Only War,4
44,0.33599999999999997,10,11,5,2,3,win,turn_limit_Only War,4
45,-1.365,10,11,1,3,-2,loss,turn_limit_Only War,4
46,0.012499999999999997,10,11,1,4,-3,loss,turn_limit_Only War,4
47,0.3955,10,11,4,2,2,win,turn_limit_Only War,4
48,0.02900000000000001,10,11,0,1,-1,loss,turn_limit_Only War,4
49,-0.15450000000000003,10,11,1,1,0,draw,turn_limit_Only War,4
50,0.09949999999999999,10,11,0,1,-1,loss,turn_limit_Only War,4
51,-0.39399999999999996,5,6,0,3,-3,loss,wipeout_model,4
52,0.1575,10,11,3,2,1,win,turn_limit_Only War,4
53,-0.7495,10,11,0,1,-1,loss,turn_limit_Only War,4
54,-0.9135,10,11,0,0,0,draw,turn_limit_Only War,4
55,-0.4835,10,11,0,0,0,draw,turn_limit_Only War,4
56,0.025000000000000026,9,10,3,1,2,win,wipeout_enemy,4
57,-0.8710000000000001,10,11,2,0,2,loss,wipeout_model,4
58,-0.5700000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
59,0.21300000000000002,10,11,5,3,2,win,turn_limit_Only War,4
60,-0.4505,10,11,0,6,-6,loss,turn_limit_Only War,4
61,-1.0955,10,11,3,2,1,win,turn_limit_Only War,4
62,-0.306,10,11,2,0,2,win,turn_limit_Only War,4
63,-0.429,10,11,0,4,-4,loss,turn_limit_Only War,4
64,0.2575,10,11,5,1,4,win,turn_limit_Only War,4
65,-0.49700000000000005,10,11,5,2,3,win,turn_limit_Only War,4
66,0.07250000000000002,10,11,2,1,1,win,turn_limit_Only War,4
