episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,-0.4677777777777778,9,10,0,3,-3,loss,wipeout_model,4
2,-0.04222222222222221,9,10,1,0,1,loss,wipeout_model,4
3,-0.4044444444444444,9,10,3,3,0,loss,wipeout_model,4
4,-0.088,10,11,4,2,2,win,turn_limit_Only War,4
5,-0.5625,10,11,0,5,-5,loss,turn_limit_Only War,4
6,0.634,10,11,7,0,7,win,turn_limit_Only War,4
7,-1.0345,10,11,2,0,2,win,turn_limit_Only War,4
8,-0.47800000000000004,10,11,5,5,0,draw,turn_limit_Only War,4
9,-0.0415,10,11,0,3,-3,loss,turn_limit_Only War,4
10,-1.468,10,11,0,2,-2,loss,turn_limit_Only War,4
11,0.2435,10,11,6,0,6,win,turn_limit_Only War,4
12,-0.02450000000000001,10,11,2,1,1,win,turn_limit_Only War,4
13,-0.325,10,11,0,1,-1,loss,wipeout_model,4
14,-0.47050000000000003,10,11,0,4,-4,loss,wipeout_model,4
15,0.2435,10,11,3,3,0,draw,turn_limit_Only War,4
16,-0.131,10,11,2,1,1,win,turn_limit_Only War,4
17,-0.4533333333333333,6,7,0,2,-2,win,wipeout_enemy,4
18,0.7575,6,7,0,2,-2,win,wipeout_enemy,4
19,-0.41375,8,9,1,0,1,loss,wipeout_model,4
20,-1.50125,8,9,0,2,-2,win,wipeout_enemy,4
21,-0.21062499999999998,8,9,0,2,-2,loss,wipeout_model,4
22,-0.248,10,11,4,0,4,win,turn_limit_Only War,4
23,-1.164,10,11,0,1,-1,loss,turn_limit_Only War,4
24,0.4055000000000001,10,11,9,3,6,win,turn_limit_Only War,4
25,0.48000000000000004,9,10,0,2,-2,win,wipeout_enemy,4
26,-0.21749999999999997,10,11,7,1,6,win,turn_limit_Only War,4
27,-0.5355,10,11,2,3,-1,loss,turn_limit_Only War,4
28,-0.4175,10,11,1,1,0,draw,turn_limit_Only War,4
29,-0.13399999999999998,10,11,0,3,-3,loss,turn_limit_Only War,4
30,-0.9285,10,11,3,2,1,win,turn_limit_Only War,4
31,-0.382,10,11,0,1,-1,loss,turn_limit_Only War,4
32,-0.49050000000000005,10,11,0,2,-2,loss,turn_limit_Only War,4
33,-0.17812500000000003,8,9,4,0,4,win,wipeout_enemy,4
34,-0.15799999999999997,10,11,0,4,-4,loss,turn_limit_Only War,4
35,-2.37,7,8,0,0,0,win,wipeout_enemy,4
36,-0.28300000000000003,10,11,2,4,-2,loss,turn_limit_Only War,4
37,-0.85,10,11,2,0,2,win,turn_limit_Only War,4
38,-0.36900000000000005,10,11,2,3,-1,loss,turn_limit_Only War,4
39,-0.8015000000000001,10,11,0,3,-3,loss,turn_limit_Only War,4
40,-0.6005,10,11,0,0,0,draw,turn_limit_Only War,4
41,-0.922,10,11,0,2,-2,loss,turn_limit_Only War,4
42,-0.752,10,11,0,0,0,draw,turn_limit_Only War,4
43,-0.4095,10,11,4,4,0,draw,turn_limit_Only War,4
44,-0.44699999999999995,10,11,0,3,-3,loss,turn_limit_Only War,4
45,-0.22499999999999995,10,11,1,0,1,win,turn_limit_Only War,4
46,-0.2725,10,11,0,4,-4,loss,turn_limit_Only War,4
47,-0.9654999999999999,10,11,0,2,-2,loss,turn_limit_Only War,4
48,0.06400000000000002,10,11,1,1,0,draw,turn_limit_Only War,4
49,-0.308,10,11,4,2,2,win,turn_limit_Only War,4
50,-0.017499999999999995,10,11,1,3,-2,loss,turn_limit_Only War,4
51,0.10357142857142863,7,8,1,0,1,win,wipeout_enemy,4
52,-0.2107142857142857,7,8,1,0,1,loss,wipeout_model,4
53,0.2815,10,11,5,3,2,win,turn_limit_Only War,4
54,-0.6616666666666666,9,10,3,2,1,loss,wipeout_model,4
55,-0.8711111111111111,9,10,0,1,-1,loss,wipeout_model,4
56,-0.4285,10,11,0,5,-5,loss,turn_limit_Only War,4
57,-0.8400000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
58,-0.5385,10,11,0,4,-4,loss,turn_limit_Only War,4
59,-1.0844999999999998,10,11,5,0,5,win,turn_limit_Only War,4
60,-0.41900000000000004,10,11,0,0,0,draw,turn_limit_Only War,4
61,-0.28049999999999997,10,11,3,4,-1,loss,turn_limit_Only War,4
62,-0.37849999999999995,10,11,0,0,0,loss,wipeout_model,4
63,-0.7070000000000001,10,11,2,2,0,draw,turn_limit_Only War,4
64,-0.977,10,11,5,3,2,win,turn_limit_Only War,4
65,-0.7765000000000001,10,11,0,2,-2,loss,turn_limit_Only War,4
66,-0.659,10,11,0,4,-4,loss,turn_limit_Only War,4
67,0.14250000000000002,10,11,4,3,1,win,turn_limit_Only War,4
68,-0.121,10,11,6,4,2,win,turn_limit_Only War,4
69,-0.7995,10,11,0,1,-1,loss,turn_limit_Only War,4
70,-0.25,10,11,0,0,0,draw,turn_limit_Only War,4
71,-0.7595,10,11,5,4,1,win,turn_limit_Only War,4
72,-1.165,4,5,0,0,0,loss,wipeout_model,4
73,-0.258,10,11,6,3,3,win,turn_limit_Only War,4
74,-0.12149999999999997,10,11,2,1,1,win,turn_limit_Only War,4
75,0.4585,10,11,6,3,3,win,turn_limit_Only War,4
76,-0.1065,10,11,4,4,0,draw,turn_limit_Only War,4
77,-0.944,10,11,3,2,1,win,turn_limit_Only War,4
78,0.173,10,11,6,0,6,win,turn_limit_Only War,4
79,-0.46049999999999996,10,11,3,5,-2,loss,turn_limit_Only War,4
80,-1.184,10,11,3,3,0,draw,turn_limit_Only War,4
