episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,-0.568125,5,6,1,0,1,win,turn_limit_Only War,4
2,-0.526875,5,6,0,1,-1,loss,wipe_model,4
3,-3.024375,5,6,0,2,-2,loss,turn_limit_Only War,4
4,0.01687499999999999,5,6,2,0,2,win,turn_limit_Only War,4
5,0.333125,5,6,5,0,5,win,turn_limit_Only War,4
6,-2.24375,5,6,2,1,1,win,turn_limit_Only War,4
7,-0.20037500000000003,5,6,0,1,-1,loss,turn_limit_Only War,4
8,-1.540625,5,6,2,0,2,win,turn_limit_Only War,4
9,-1.3185,5,6,0,1,-1,loss,turn_limit_Only War,4
10,-0.184375,5,6,0,1,-1,loss,turn_limit_Only War,4
11,-0.459375,5,6,0,1,-1,loss,turn_limit_Only War,4
12,-0.558125,5,6,0,1,-1,loss,turn_limit_Only War,4
13,0.25425,5,6,3,1,2,win,turn_limit_Only War,4
14,-3.02625,5,6,1,0,1,win,turn_limit_Only War,4
15,0.452125,5,6,4,2,2,win,turn_limit_Only War,4
16,-0.19437500000000002,5,6,2,0,2,win,turn_limit_Only War,4
17,-1.985625,5,6,0,0,0,draw,turn_limit_Only War,4
18,-0.9625000000000001,5,6,4,1,3,win,turn_limit_Only War,4
19,-2.035,5,6,0,2,-2,loss,turn_limit_Only War,4
20,-3.6625,5,6,0,0,0,draw,turn_limit_Only War,4
21,-1.884375,5,6,0,0,0,draw,turn_limit_Only War,4
22,-0.42974999999999997,5,6,0,1,-1,loss,turn_limit_Only War,4
23,-1.340625,5,6,0,1,-1,loss,turn_limit_Only War,4
24,-4.126250000000001,5,6,0,1,-1,loss,turn_limit_Only War,4
25,0.22749999999999998,5,6,2,0,2,win,turn_limit_Only War,4
26,-0.24937499999999996,5,6,2,0,2,win,turn_limit_Only War,4
27,0.2925,5,6,0,1,-1,loss,turn_limit_Only War,4
28,-0.034375,5,6,1,2,-1,loss,turn_limit_Only War,4
29,-1.2825,5,6,3,0,3,win,turn_limit_Only War,4
30,-1.9587499999999998,5,6,4,1,3,win,turn_limit_Only War,4
31,-0.225,5,6,0,1,-1,loss,turn_limit_Only War,4
32,-2.147875,5,6,3,1,2,win,turn_limit_Only War,4
33,-2.15825,5,6,1,2,-1,loss,turn_limit_Only War,4
34,-2.339375,5,6,0,2,-2,loss,turn_limit_Only War,4
35,-1.6513750000000003,5,6,2,2,0,draw,turn_limit_Only War,4
36,-0.18375000000000002,5,6,0,2,-2,loss,turn_limit_Only War,4
37,-2.586875,5,6,0,0,0,draw,turn_limit_Only War,4
38,-2.432875,5,6,0,3,-3,loss,turn_limit_Only War,4
39,-0.9324999999999999,5,6,2,0,2,win,turn_limit_Only War,4
40,-0.93625,5,6,2,2,0,draw,turn_limit_Only War,4
41,-0.06875,5,6,0,1,-1,loss,turn_limit_Only War,4
42,-0.970125,5,6,0,0,0,draw,turn_limit_Only War,4
