episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,1.1024177476859107,4,5,0,1,-1,win,wipeout_enemy,4
2,0.5484305555158792,6,7,0,1,-1,win,wipeout_enemy,4
3,0.69403756107549,6,7,0,0,0,win,wipeout_enemy,4
4,0.6739345212855258,7,8,0,0,0,win,wipeout_enemy,4
5,0.49604882464283384,8,9,0,1,-1,win,wipeout_enemy,4
6,0.007404537505881696,10,11,0,0,0,draw,turn_limit_Only War,4
7,0.011157349291819173,10,11,0,0,0,draw,turn_limit_Only War,4
8,-0.1099381253890224,10,11,0,1,-1,loss,wipeout_model,4
9,0.04976100258217757,10,11,0,0,0,draw,turn_limit_Only War,4
10,0.3823557575396942,10,11,0,0,0,win,wipeout_enemy,4
11,0.15664492844216682,10,11,0,1,-1,loss,turn_limit_Only War,4
12,0.2518187151146595,10,11,0,1,-1,win,wipeout_enemy,4
13,0.6206712845793881,8,9,0,1,-1,win,wipeout_enemy,4
14,0.43853008528080295,8,9,0,1,-1,win,wipeout_enemy,4
15,0.5548253569760729,8,9,0,0,0,win,wipeout_enemy,4
16,0.566539218766912,9,10,0,0,0,win,wipeout_enemy,4
17,-0.5432083146853997,7,8,0,1,-1,loss,wipeout_model,4
18,0.06796097870623184,10,11,0,0,0,draw,turn_limit_Only War,4
19,-0.3087660338745461,8,9,0,0,0,loss,wipeout_model,4
20,-0.11256608621890285,9,10,0,1,-1,loss,wipeout_model,4
21,0.032190066749686115,10,11,0,0,0,draw,turn_limit_Only War,4
22,0.03411095277947185,10,11,0,0,0,draw,turn_limit_Only War,4
23,0.5674141563658949,10,11,2,0,2,win,wipeout_enemy,4
24,0.09723115123251938,10,11,0,1,-1,loss,turn_limit_Only War,4
25,-0.01904261288751368,10,11,0,0,0,draw,turn_limit_Only War,4
26,0.5389330445178672,8,9,0,1,-1,win,wipeout_enemy,4
27,-0.13422200891715658,10,11,0,0,0,draw,turn_limit_Only War,4
28,-0.5645616871008161,6,7,0,0,0,loss,wipeout_model,4
29,0.0874344196809299,10,11,0,1,-1,loss,turn_limit_Only War,4
30,0.42398451451186775,7,8,0,0,0,win,wipeout_enemy,4
31,0.14773812457296115,10,11,4,0,4,win,turn_limit_Only War,4
32,0.05961231979094991,10,11,0,0,0,draw,turn_limit_Only War,4
33,0.2987627010490045,10,11,0,1,-1,loss,turn_limit_Only War,4
34,0.31622606369642114,9,10,0,0,0,win,wipeout_enemy,4
35,0.1046097046843009,10,11,0,1,-1,loss,turn_limit_Only War,4
36,-0.011368513328424182,10,11,0,0,0,draw,turn_limit_Only War,4
37,0.021583519869741316,10,11,0,1,-1,loss,turn_limit_Only War,4
38,0.02755006515893712,10,11,0,0,0,draw,turn_limit_Only War,4
39,-0.40465390336817836,10,11,0,0,0,loss,wipeout_model,4
40,0.3889476395803372,9,10,0,0,0,win,wipeout_enemy,4
41,0.21089448550794057,10,11,0,0,0,draw,turn_limit_Only War,4
42,-0.012848134458802105,10,11,0,1,-1,loss,turn_limit_Only War,4
43,0.21345586066245112,10,11,0,0,0,draw,turn_limit_Only War,4
44,0.22163611341116202,10,11,0,1,-1,loss,turn_limit_Only War,4
45,0.058881138339877036,10,11,0,0,0,draw,turn_limit_Only War,4
46,-0.17239833286093983,7,8,0,0,0,loss,wipeout_model,4
47,-0.25897381883559634,10,11,0,0,0,draw,turn_limit_Only War,4
48,0.3829971663407068,9,10,0,0,0,win,wipeout_enemy,4
49,0.3153234935608828,10,11,0,1,-1,loss,turn_limit_Only War,4
50,0.5794419449389205,8,9,0,0,0,win,wipeout_enemy,4
51,0.07597266459697215,10,11,0,0,0,draw,turn_limit_Only War,4
52,0.01448782382434766,10,11,0,0,0,draw,turn_limit_Only War,4
53,0.8540913348028448,5,6,0,1,-1,win,wipeout_enemy,4
54,0.20304925890388545,8,9,0,0,0,win,wipeout_enemy,4
55,0.2823805448553266,10,11,4,2,2,win,turn_limit_Only War,4
56,0.18827997081748757,10,11,0,0,0,draw,turn_limit_Only War,4
57,0.254527336993298,10,11,0,0,0,draw,turn_limit_Only War,4
58,0.25329675295695975,10,11,0,0,0,draw,turn_limit_Only War,4
59,0.7077854561585207,6,7,0,1,-1,win,wipeout_enemy,4
60,0.6630151305732968,10,11,2,1,1,win,wipeout_enemy,4
61,0.46343287548418727,10,11,3,0,3,win,wipeout_enemy,4
62,0.8391952772437623,5,6,0,0,0,win,wipeout_enemy,4
63,-0.029849826319978717,10,11,0,0,0,draw,turn_limit_Only War,4
64,0.16842390098214072,10,11,0,0,0,draw,turn_limit_Only War,4
65,-0.2939667395169989,9,10,0,0,0,loss,wipeout_model,4
66,0.566859591609247,8,9,0,2,-2,win,wipeout_enemy,4
67,0.48749102360258295,7,8,0,0,0,win,wipeout_enemy,4
68,-0.08294077324296054,10,11,0,1,-1,loss,turn_limit_Only War,4
69,0.7046355018170115,6,7,0,1,-1,win,wipeout_enemy,4
70,0.4539700140603499,8,9,0,0,0,win,wipeout_enemy,4
71,-0.19804979080633106,10,11,0,0,0,loss,wipeout_model,4
72,0.02379364960267406,10,11,0,1,-1,loss,turn_limit_Only War,4
73,-0.007278545864828521,10,11,0,0,0,draw,turn_limit_Only War,4
74,0.11332682452453587,10,11,0,1,-1,loss,turn_limit_Only War,4
