episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,-0.22663881887055892,8,9,0,0,0,loss,wipeout_model,4
2,0.6915131051548278,8,9,0,1,-1,win,wipeout_enemy,4
3,-0.31718136803577185,8,9,0,1,-1,loss,wipeout_model,4
4,0.055595927492037,10,11,0,0,0,draw,turn_limit_Only War,4
5,0.13123177362613883,10,11,0,0,0,draw,turn_limit_Only War,4
6,-0.08185010713852701,10,11,0,1,-1,loss,turn_limit_Only War,4
7,-0.05692539504451042,10,11,0,1,-1,loss,turn_limit_Only War,4
8,-0.04738032513012657,10,11,0,1,-1,loss,wipeout_model,4
9,0.09520986987584827,10,11,0,0,0,draw,turn_limit_Only War,4
10,-0.08094497156207602,10,11,0,0,0,draw,turn_limit_Only War,4
11,0.11707424799796032,10,11,0,2,-2,loss,turn_limit_Only War,4
12,-0.15893221953785827,10,11,0,1,-1,loss,wipeout_model,4
13,-0.037492823628734996,10,11,0,0,0,loss,wipeout_model,4
14,0.029943593106930715,10,11,0,1,-1,loss,turn_limit_Only War,4
15,-0.0965071239701549,10,11,0,1,-1,loss,turn_limit_Only War,4
16,-0.28941691020282884,9,10,0,0,0,loss,wipeout_model,4
17,-0.08683130259563741,9,10,0,1,-1,loss,wipeout_model,4
18,-0.05020145811295971,10,11,0,0,0,draw,turn_limit_Only War,4
19,0.11881914879163316,10,11,0,1,-1,loss,turn_limit_Only War,4
20,-0.04096004042133462,10,11,0,1,-1,loss,turn_limit_Only War,4
21,0.03555114984926651,10,11,0,2,-2,loss,turn_limit_Only War,4
22,0.2712440257708372,10,11,0,1,-1,loss,turn_limit_Only War,4
23,-0.01972263764640891,10,11,0,1,-1,loss,turn_limit_Only War,4
24,-0.09057970924500248,10,11,0,0,0,draw,turn_limit_Only War,4
25,-0.1493022843964078,5,6,0,0,0,loss,wipeout_model,4
26,0.4824729562329613,8,9,0,1,-1,win,wipeout_enemy,4
27,-0.14020473616561335,10,11,0,1,-1,loss,turn_limit_Only War,4
