episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,-1.0285714285714287,7,7,0,2,-2,loss,wipe_model,4
2,-1.2399999999999998,10,10,0,7,-7,loss,turn_limit_ancient_relic,2
3,-0.4166666666666667,6,6,4,1,3,loss,wipe_model,4
4,-3.3600000000000003,10,10,0,4,-4,loss,turn_limit_ancient_relic,2
5,-1.7,10,10,0,3,-3,loss,turn_limit_ancient_relic,2
6,-0.922222222222222,9,9,1,7,-6,win,wipe_enemy,4
7,-0.25,10,10,7,5,2,win,turn_limit_ancient_relic,2
8,-0.5900000000000001,10,10,2,3,-1,loss,turn_limit_ancient_relic,2
9,-1.0666666666666667,9,9,0,5,-5,loss,wipe_model,4
10,-0.45999999999999996,10,10,8,7,1,win,turn_limit_ancient_relic,2
11,-1.3699999999999999,10,10,0,8,-8,loss,turn_limit_ancient_relic,2
12,-0.24000000000000005,10,10,7,2,5,win,turn_limit_ancient_relic,2
13,-0.72,10,10,0,12,-12,loss,turn_limit_ancient_relic,2
14,-1.1099999999999999,10,10,0,7,-7,loss,wipe_model,4
15,-2.04,10,10,3,1,2,win,turn_limit_ancient_relic,2
16,-1.41,10,10,7,3,4,loss,wipe_model,4
17,-0.53,10,10,5,3,2,win,turn_limit_ancient_relic,2
18,-1.44,10,10,2,7,-5,loss,turn_limit_ancient_relic,2
19,-1.5899999999999999,10,10,5,6,-1,loss,turn_limit_ancient_relic,2
20,-3.13,10,10,0,4,-4,loss,turn_limit_ancient_relic,2
21,-0.16,10,10,2,0,2,win,turn_limit_ancient_relic,2
22,-1.0399999999999998,10,10,0,0,0,draw,turn_limit_ancient_relic,2
23,-0.61,10,10,5,2,3,win,turn_limit_ancient_relic,2
24,-1.8777777777777775,9,9,2,3,-1,loss,wipe_model,4
25,-1.19,10,10,0,5,-5,loss,turn_limit_ancient_relic,2
26,1.1102230246251566e-17,10,10,2,2,0,draw,turn_limit_ancient_relic,2
27,-2.44,10,10,0,7,-7,loss,turn_limit_ancient_relic,2
28,-1.25,10,10,2,8,-6,win,wipe_enemy,4
29,-0.9099999999999999,10,10,4,2,2,win,turn_limit_ancient_relic,2
30,-0.82,10,10,1,9,-8,loss,turn_limit_ancient_relic,2
31,-3.75,10,10,0,5,-5,loss,turn_limit_ancient_relic,2
32,-1.59,10,10,2,8,-6,loss,turn_limit_ancient_relic,2
33,-0.6399999999999999,10,10,6,4,2,win,turn_limit_ancient_relic,2
34,-3.02,10,10,0,0,0,draw,turn_limit_ancient_relic,2
35,-1.8800000000000001,10,10,0,2,-2,loss,turn_limit_ancient_relic,2
36,-3.02,10,10,0,8,-8,loss,turn_limit_ancient_relic,2
37,-0.6142857142857141,7,7,5,2,3,win,wipe_enemy,4
38,-1.26,10,10,6,4,2,win,turn_limit_ancient_relic,2
39,-1.1300000000000001,10,10,1,6,-5,loss,turn_limit_ancient_relic,2
40,-0.64,10,10,1,2,-1,loss,turn_limit_ancient_relic,2
41,-0.97,10,10,3,4,-1,loss,turn_limit_ancient_relic,2
42,-1.22,10,10,0,10,-10,loss,turn_limit_ancient_relic,2
43,-1.08,10,10,2,5,-3,loss,turn_limit_ancient_relic,2
44,-0.16999999999999998,10,10,12,1,11,win,turn_limit_ancient_relic,2
45,-0.8800000000000001,5,5,2,2,0,loss,wipe_model,4
46,-1.65,10,10,0,6,-6,loss,turn_limit_ancient_relic,2
47,-1.97,10,10,2,11,-9,loss,turn_limit_ancient_relic,2
48,-4.09,10,10,0,10,-10,loss,turn_limit_ancient_relic,2
49,-2.04,10,10,1,8,-7,loss,turn_limit_ancient_relic,2
50,-0.96,10,10,7,1,6,loss,wipe_model,4
51,-2.066666666666667,6,6,0,1,-1,loss,wipe_model,4
52,-1.6099999999999999,10,10,3,5,-2,loss,turn_limit_ancient_relic,2
53,-1.44,10,10,0,3,-3,loss,turn_limit_ancient_relic,2
54,-2.71,10,10,0,10,-10,loss,turn_limit_ancient_relic,2
55,-3.0,8,8,1,5,-4,loss,wipe_model,4
56,-1.2166666666666666,6,6,4,5,-1,loss,wipe_model,4
57,-0.72,10,10,4,1,3,win,turn_limit_ancient_relic,2
58,-0.11666666666666665,6,6,2,1,1,win,wipe_enemy,4
59,-1.1333333333333333,9,9,4,8,-4,loss,wipe_model,4
60,-3.29,10,10,0,5,-5,loss,turn_limit_ancient_relic,2
61,-1.22,10,10,0,3,-3,loss,wipe_model,4
62,-2.5300000000000002,10,10,0,9,-9,loss,turn_limit_ancient_relic,2
63,-0.7000000000000001,7,7,0,2,-2,win,wipe_enemy,4
64,-3.29,10,10,0,6,-6,loss,turn_limit_ancient_relic,2
65,-1.0,9,9,2,6,-4,loss,wipe_model,4
66,-4.99,10,10,0,9,-9,loss,turn_limit_ancient_relic,2
67,-2.35,10,10,2,8,-6,loss,turn_limit_ancient_relic,2
68,-0.95,10,10,0,10,-10,loss,turn_limit_ancient_relic,2
69,-1.64,10,10,3,4,-1,loss,turn_limit_ancient_relic,2
70,-0.77,10,10,0,5,-5,loss,turn_limit_ancient_relic,2
71,-1.06,10,10,4,5,-1,loss,turn_limit_ancient_relic,2
72,-0.9400000000000001,10,10,0,6,-6,loss,turn_limit_ancient_relic,2
73,-1.3299999999999998,10,10,2,5,-3,loss,turn_limit_ancient_relic,2
74,-1.31,10,10,2,4,-2,loss,turn_limit_ancient_relic,2
75,-2.6100000000000003,10,10,0,10,-10,loss,turn_limit_ancient_relic,2
76,-2.0555555555555554,9,9,2,4,-2,loss,wipe_model,4
77,-2.62,10,10,0,5,-5,loss,turn_limit_ancient_relic,2
78,-2.2,10,10,0,8,-8,loss,turn_limit_ancient_relic,2
79,-1.7,10,10,4,4,0,draw,turn_limit_ancient_relic,4
80,-1.95,10,10,0,5,-5,loss,turn_limit_ancient_relic,2
81,-3.78,10,10,0,0,0,draw,turn_limit_ancient_relic,2
82,-2.15,6,6,0,6,-6,loss,wipe_model,4
83,-1.3299999999999998,10,10,0,2,-2,loss,turn_limit_ancient_relic,2
84,-0.8200000000000001,10,10,4,6,-2,loss,turn_limit_ancient_relic,2
85,-1.9599999999999997,10,10,1,3,-2,loss,turn_limit_ancient_relic,2
86,-0.03999999999999998,10,10,2,6,-4,loss,turn_limit_ancient_relic,2
87,-4.43,10,10,0,9,-9,loss,turn_limit_ancient_relic,2
88,-3.3,10,10,5,8,-3,loss,turn_limit_ancient_relic,2
89,-2.04,10,10,4,4,0,draw,turn_limit_ancient_relic,2
90,-3.9799999999999995,10,10,0,16,-16,loss,turn_limit_ancient_relic,2
91,-2.45,10,10,0,9,-9,loss,turn_limit_ancient_relic,2
92,-2.05,10,10,0,6,-6,loss,turn_limit_ancient_relic,2
93,-3.05,10,10,0,6,-6,loss,turn_limit_ancient_relic,2
94,-0.7714285714285715,7,7,0,4,-4,win,wipe_enemy,4
95,0.010000000000000047,10,10,8,3,5,win,turn_limit_ancient_relic,2
96,0.2,10,10,5,2,3,win,turn_limit_ancient_relic,2
97,-1.2,10,10,1,12,-11,loss,turn_limit_ancient_relic,2
98,-1.1428571428571428,7,7,2,0,2,loss,wipe_model,4
99,-4.54,10,10,0,0,0,draw,turn_limit_ancient_relic,2
100,-2.55,10,10,3,3,0,draw,turn_limit_ancient_relic,2
