episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,0.811936682465605,6,7,0,0,0,win,wipeout_enemy,4
2,-0.3228983644369592,8,9,0,1,-1,loss,wipeout_model,4
3,0.3094602122012736,9,10,0,0,0,win,wipeout_enemy,4
4,0.5307908688778975,9,10,0,1,-1,win,wipeout_enemy,4
5,-0.007838328500895272,10,11,0,1,-1,loss,turn_limit_Only War,4
6,-0.2013536221090991,10,11,0,1,-1,loss,wipeout_model,4
7,-0.044960159541638074,10,11,0,1,-1,loss,turn_limit_Only War,4
8,-0.08387246993688555,10,11,0,1,-1,loss,turn_limit_Only War,4
9,-0.07249322015644685,10,11,0,0,0,draw,turn_limit_Only War,4
10,-0.1154565256734313,10,11,0,0,0,draw,turn_limit_Only War,4
11,0.06362817141426895,10,11,0,1,-1,loss,turn_limit_Only War,4
12,0.009661132846204987,10,11,0,0,0,draw,turn_limit_Only War,4
13,0.5820426730017305,7,8,0,0,0,win,wipeout_enemy,4
14,-0.14748096090752064,10,11,0,0,0,draw,turn_limit_Only War,4
15,-0.40229835470460407,9,10,0,0,0,loss,wipeout_model,4
16,0.26008272234517754,10,11,0,0,0,draw,turn_limit_Only War,4
17,-0.10644528788613716,10,11,0,0,0,draw,turn_limit_Only War,4
18,-0.02678426789897992,10,11,0,1,-1,loss,turn_limit_Only War,4
19,0.07802518580568725,10,11,0,1,-1,loss,turn_limit_Only War,4
20,0.023168409830839554,10,11,0,1,-1,loss,turn_limit_Only War,4
21,0.06774145563772072,10,11,0,0,0,draw,turn_limit_Only War,4
22,0.5493769901954919,10,11,0,1,-1,win,wipeout_enemy,4
23,-0.06647892441496522,10,11,0,0,0,draw,turn_limit_Only War,4
24,0.12710409796702965,10,11,0,0,0,draw,turn_limit_Only War,4
25,0.0368585193965432,10,11,0,0,0,draw,turn_limit_Only War,4
26,0.7113427698368051,6,7,0,1,-1,win,wipeout_enemy,4
27,-0.02789819838517076,10,11,0,0,0,draw,turn_limit_Only War,4
28,-0.18163815393986515,9,10,0,0,0,loss,wipeout_model,4
29,0.4961614852255921,9,10,0,0,0,win,wipeout_enemy,4
30,0.5192041219573071,9,10,0,1,-1,win,wipeout_enemy,4
31,-0.07548218096392528,10,11,0,1,-1,loss,turn_limit_Only War,4
32,-0.1833359654791138,9,10,1,0,1,loss,wipeout_model,4
